nod_sal;nod_ent;cap
1;2;1
1;3;1
1;4;1
1;5;1
1;6;1
1;7;1
1;8;1
1;9;1
1;10;1
1;11;1
1;12;1
1;13;1
2;14;1
2;15;1
2;7;1
2;16;1
2;17;1
2;18;1
2;19;1
2;20;1
2;21;1
2;22;1
2;23;1
24;25;1
24;26;1
24;27;1
24;28;1
24;29;1
24;30;1
24;31;1
24;32;1
24;33;1
24;34;1
24;35;1
24;36;1
25;37;1
25;38;1
25;39;1
25;40;1
25;41;1
25;42;1
25;33;1
25;34;1
25;43;1
25;44;1
25;45;1
3;37;1
3;4;1
3;5;1
3;6;1
3;46;1
3;9;1
3;47;1
3;12;1
3;13;1
3;48;1
37;49;1
37;38;1
37;41;1
37;34;1
37;43;1
37;44;1
37;11;1
37;50;1
37;51;1
37;52;1
26;53;1
26;54;1
26;55;1
26;30;1
26;56;1
26;42;1
26;31;1
26;32;1
26;57;1
26;35;1
26;36;1
53;58;1
53;59;1
53;60;1
53;40;1
53;61;1
53;62;1
53;63;1
53;64;1
53;65;1
53;48;1
53;66;1
58;4;1
58;59;1
58;60;1
58;9;1
58;67;1
58;61;1
58;63;1
58;64;1
58;11;1
58;66;1
4;5;1
4;60;1
4;6;1
4;9;1
4;32;1
4;12;1
4;13;1
4;48;1
49;38;1
49;31;1
49;33;1
49;34;1
49;43;1
49;44;1
49;51;1
49;45;1
49;52;1
38;68;1
38;46;1
38;69;1
38;47;1
38;11;1
38;50;1
38;13;1
70;27;1
70;28;1
70;71;1
70;72;1
70;39;1
70;73;1
70;74;1
70;75;1
70;76;1
70;57;1
27;29;1
27;54;1
27;55;1
27;17;1
27;31;1
27;32;1
27;35;1
27;36;1
27;77;1
28;29;1
28;39;1
28;75;1
28;76;1
28;78;1
28;79;1
28;57;1
28;80;1
29;54;1
29;55;1
29;30;1
29;31;1
29;61;1
29;81;1
29;35;1
29;36;1
29;82;1
5;71;1
5;6;1
5;75;1
5;9;1
5;83;1
5;43;1
5;12;1
5;13;1
71;84;1
71;15;1
71;42;1
71;85;1
71;10;1
71;86;1
71;87;1
71;88;1
71;89;1
72;90;1
72;91;1
72;73;1
72;74;1
72;75;1
72;92;1
72;78;1
72;93;1
72;79;1
72;80;1
90;94;1
90;95;1
90;7;1
90;8;1
90;74;1
90;96;1
90;56;1
90;97;1
90;98;1
90;20;1
84;59;1
84;74;1
84;85;1
84;10;1
84;99;1
84;100;1
84;101;1
84;86;1
84;88;1
84;89;1
59;60;1
59;54;1
59;102;1
59;67;1
59;61;1
59;63;1
59;48;1
59;66;1
60;6;1
60;30;1
60;67;1
60;61;1
60;63;1
60;64;1
60;48;1
6;9;1
6;64;1
6;11;1
6;12;1
6;13;1
6;66;1
68;14;1
68;46;1
68;69;1
68;103;1
68;47;1
68;44;1
68;86;1
68;11;1
68;77;1
14;7;1
14;16;1
14;17;1
14;104;1
14;19;1
14;21;1
14;22;1
14;36;1
14;23;1
39;15;1
39;73;1
39;75;1
39;92;1
39;76;1
39;93;1
39;57;1
15;105;1
15;85;1
15;106;1
15;10;1
15;99;1
15;101;1
15;87;1
15;88;1
46;75;1
46;69;1
46;47;1
46;64;1
46;11;1
46;89;1
94;95;1
94;8;1
94;92;1
94;56;1
94;97;1
94;107;1
94;65;1
94;108;1
94;98;1
94;20;1
95;8;1
95;96;1
95;69;1
95;56;1
95;97;1
95;65;1
95;98;1
95;20;1
95;23;1
91;54;1
91;73;1
91;76;1
91;78;1
91;56;1
91;93;1
91;79;1
91;97;1
91;57;1
91;80;1
54;55;1
54;30;1
54;109;1
54;32;1
54;35;1
54;36;1
7;16;1
7;17;1
7;19;1
7;21;1
7;22;1
7;23;1
73;8;1
73;92;1
73;78;1
73;93;1
73;79;1
73;98;1
73;80;1
8;96;1
8;56;1
8;97;1
8;81;1
8;98;1
8;20;1
74;16;1
74;76;1
74;42;1
74;110;1
16;17;1
16;107;1
16;19;1
16;87;1
16;21;1
16;22;1
16;23;1
75;55;1
75;76;1
75;78;1
75;79;1
75;57;1
55;30;1
55;78;1
55;31;1
55;65;1
55;35;1
55;36;1
40;9;1
40;67;1
40;41;1
40;33;1
40;34;1
40;43;1
40;51;1
40;45;1
40;52;1
9;83;1
9;12;1
9;13;1
92;76;1
92;18;1
92;106;1
76;93;1
76;99;1
76;97;1
76;57;1
96;17;1
96;111;1
96;18;1
96;103;1
96;100;1
96;112;1
96;108;1
96;113;1
17;85;1
17;19;1
17;21;1
17;22;1
17;23;1
102;30;1
102;109;1
102;104;1
102;83;1
102;62;1
102;114;1
102;115;1
102;77;1
102;66;1
102;82;1
30;31;1
30;93;1
30;32;1
30;35;1
111;109;1
111;104;1
111;18;1
111;103;1
111;100;1
111;112;1
111;108;1
111;81;1
111;88;1
111;51;1
109;104;1
109;83;1
109;62;1
109;114;1
109;44;1
109;115;1
109;77;1
109;82;1
69;67;1
69;61;1
69;47;1
69;64;1
69;11;1
67;61;1
67;63;1
67;64;1
67;20;1
67;48;1
67;66;1
41;104;1
41;33;1
41;34;1
41;44;1
41;51;1
41;45;1
41;113;1
104;83;1
104;62;1
104;114;1
104;112;1
104;115;1
104;77;1
104;82;1
78;56;1
78;93;1
78;79;1
78;80;1
56;97;1
56;19;1
56;98;1
56;20;1
105;18;1
105;85;1
105;10;1
105;99;1
105;101;1
105;86;1
105;87;1
105;88;1
105;36;1
18;100;1
18;112;1
18;108;1
18;81;1
18;113;1
42;110;1
42;106;1
42;115;1
42;50;1
42;20;1
42;82;1
110;31;1
110;106;1
110;103;1
110;101;1
110;50;1
110;89;1
31;32;1
31;79;1
31;36;1
93;85;1
93;79;1
93;81;1
93;80;1
85;99;1
85;101;1
85;86;1
85;87;1
85;22;1
106;32;1
106;10;1
106;50;1
106;23;1
106;113;1
32;35;1
32;36;1
32;66;1
10;103;1
10;99;1
10;86;1
10;88;1
10;89;1
103;100;1
103;101;1
103;112;1
103;108;1
103;81;1
103;113;1
83;61;1
83;62;1
83;114;1
83;115;1
83;13;1
83;77;1
83;82;1
61;64;1
61;48;1
61;66;1
47;99;1
47;114;1
47;115;1
47;11;1
47;108;1
47;87;1
99;101;1
99;87;1
99;21;1
99;89;1
79;33;1
79;80;1
33;34;1
33;43;1
33;45;1
33;13;1
33;52;1
62;34;1
62;63;1
62;114;1
62;115;1
62;77;1
62;82;1
34;65;1
34;44;1
34;45;1
100;101;1
100;112;1
100;81;1
100;52;1
100;113;1
101;87;1
101;88;1
101;89;1
63;64;1
63;65;1
63;51;1
63;48;1
63;66;1
64;48;1
64;66;1
97;107;1
97;98;1
97;20;1
97;23;1
107;65;1
107;57;1
107;112;1
107;108;1
107;12;1
107;98;1
107;22;1
107;77;1
43;65;1
43;114;1
43;44;1
43;51;1
43;52;1
65;12;1
65;98;1
65;35;1
114;44;1
114;115;1
114;77;1
114;82;1
44;51;1
44;52;1
57;80;1
112;86;1
112;108;1
112;81;1
112;50;1
86;87;1
86;88;1
86;13;1
86;89;1
115;19;1
115;52;1
115;77;1
115;82;1
19;80;1
19;21;1
19;22;1
19;23;1
108;81;1
108;12;1
108;113;1
81;36;1
81;113;1
12;13;1
98;20;1
87;89;1
88;113;1
88;89;1
50;51;1
50;113;1
51;45;1
51;52;1
80;35;1
35;45;1
45;21;1
45;52;1
21;22;1
21;23;1
13;82;1
22;23;1
48;66;1
77;82;1
