nod_sal;nod_ent;cap
1;1;1
2;1;1
5;1;1
1;2;1
2;2;1
3;2;1
4;2;1
6;2;1
1;3;1
2;3;1
3;3;1
4;3;1
5;3;1
7;3;1
1;4;1
2;4;1
3;4;1
4;4;1
6;4;1
8;4;1
1;5;1
2;5;1
3;5;1
4;5;1
5;5;1
7;5;1
9;5;1
1;6;1
2;6;1
3;6;1
4;6;1
6;6;1
8;6;1
10;6;1
1;7;1
2;7;1
3;7;1
4;7;1
7;7;1
9;7;1
11;7;1
1;8;1
2;8;1
3;8;1
4;8;1
6;8;1
8;8;1
10;8;1
12;8;1
1;9;1
2;9;1
3;9;1
4;9;1
7;9;1
9;9;1
11;9;1
13;9;1
1;10;1
2;10;1
3;10;1
4;10;1
6;10;1
8;10;1
10;10;1
12;10;1
14;10;1
1;11;1
2;11;1
3;11;1
4;11;1
7;11;1
9;11;1
11;11;1
13;11;1
15;11;1
1;12;1
2;12;1
3;12;1
4;12;1
8;12;1
10;12;1
12;12;1
14;12;1
16;12;1
1;13;1
2;13;1
3;13;1
4;13;1
9;13;1
11;13;1
13;13;1
15;13;1
17;13;1
1;14;1
2;14;1
3;14;1
4;14;1
10;14;1
12;14;1
14;14;1
16;14;1
18;14;1
1;15;1
2;15;1
3;15;1
4;15;1
11;15;1
13;15;1
15;15;1
17;15;1
19;15;1
1;16;1
2;16;1
3;16;1
4;16;1
12;16;1
14;16;1
16;16;1
18;16;1
20;16;1
1;17;1
2;17;1
3;17;1
4;17;1
13;17;1
15;17;1
17;17;1
19;17;1
21;17;1
1;18;1
2;18;1
3;18;1
4;18;1
14;18;1
16;18;1
18;18;1
20;18;1
22;18;1
1;19;1
2;19;1
3;19;1
4;19;1
15;19;1
17;19;1
19;19;1
21;19;1
23;19;1
1;20;1
2;20;1
3;20;1
4;20;1
16;20;1
18;20;1
20;20;1
22;20;1
24;20;1
1;21;1
2;21;1
3;21;1
4;21;1
17;21;1
19;21;1
21;21;1
23;21;1
25;21;1
1;22;1
2;22;1
3;22;1
4;22;1
18;22;1
20;22;1
22;22;1
24;22;1
26;22;1
1;23;1
2;23;1
3;23;1
4;23;1
19;23;1
21;23;1
23;23;1
25;23;1
27;23;1
1;24;1
2;24;1
3;24;1
4;24;1
20;24;1
22;24;1
24;24;1
26;24;1
28;24;1
1;25;1
2;25;1
3;25;1
4;25;1
21;25;1
23;25;1
25;25;1
27;25;1
29;25;1
1;26;1
2;26;1
3;26;1
4;26;1
22;26;1
24;26;1
26;26;1
28;26;1
30;26;1
1;27;1
2;27;1
3;27;1
4;27;1
23;27;1
25;27;1
27;27;1
29;27;1
31;27;1
1;28;1
2;28;1
3;28;1
4;28;1
24;28;1
26;28;1
28;28;1
30;28;1
32;28;1
1;29;1
2;29;1
3;29;1
4;29;1
25;29;1
27;29;1
29;29;1
31;29;1
33;29;1
1;30;1
2;30;1
3;30;1
4;30;1
26;30;1
28;30;1
30;30;1
32;30;1
34;30;1
1;31;1
2;31;1
3;31;1
4;31;1
27;31;1
29;31;1
31;31;1
33;31;1
35;31;1
1;32;1
2;32;1
3;32;1
4;32;1
28;32;1
30;32;1
32;32;1
34;32;1
36;32;1
1;33;1
2;33;1
3;33;1
4;33;1
29;33;1
31;33;1
33;33;1
35;33;1
37;33;1
1;34;1
2;34;1
3;34;1
4;34;1
30;34;1
32;34;1
34;34;1
36;34;1
38;34;1
1;35;1
2;35;1
3;35;1
4;35;1
31;35;1
33;35;1
35;35;1
37;35;1
39;35;1
1;36;1
2;36;1
3;36;1
4;36;1
32;36;1
34;36;1
36;36;1
38;36;1
40;36;1
1;37;1
2;37;1
3;37;1
4;37;1
33;37;1
35;37;1
37;37;1
39;37;1
41;37;1
1;38;1
2;38;1
3;38;1
4;38;1
34;38;1
36;38;1
38;38;1
40;38;1
42;38;1
1;39;1
2;39;1
3;39;1
4;39;1
35;39;1
37;39;1
39;39;1
41;39;1
43;39;1
1;40;1
2;40;1
3;40;1
4;40;1
36;40;1
38;40;1
40;40;1
42;40;1
44;40;1
1;41;1
2;41;1
3;41;1
4;41;1
37;41;1
