nod_sal;nod_ent;cap
1;2;1
1;3;1
2;3;1
2;4;1
3;2;1
3;4;1
3;31;1
4;47;1
4;5;1
4;57;1
5;4;1
5;2;1
6;5;1
6;15;1
6;27;1
47;4;1
47;5;1
47;57;1
12;34;1
12;73;1
10;12;1
10;13;1
74;73;1
74;72;1
74;66;1
30;66;1
30;65;1
30;74;1
67;68;1
67;69;1
67;72;1
72;74;1
72;67;1
72;73;1
75;72;1
75;69;1
75;70;1
69;72;1
69;70;1
15;69;1
15;68;1
15;70;1
70;72;1
70;69;1
73;68;1
73;72;1
73;74;1
65;71;1
65;66;1
71;65;1
71;70;1
71;66;1
68;7;1
68;69;1
68;70;1
66;71;1
66;65;1
66;30;1
46;52;1
46;26;1
46;49;1
52;46;1
52;53;1
52;49;1
54;46;1
54;61;1
26;72;1
26;46;1
53;52;1
53;57;1
53;66;1
49;34;1
49;46;1
49;72;1
51;52;1
51;46;1
51;53;1
59;54;1
59;63;1
50;48;1
50;64;1
50;61;1
63;33;1
63;62;1
63;61;1
64;40;1
64;61;1
64;62;1
62;3;1
62;63;1
62;61;1
61;68;1
61;62;1
61;46;1
55;57;1
56;70;1
56;57;1
58;57;1
58;35;1
57;56;1
57;58;1
57;36;1
42;34;1
42;39;1
42;44;1
43;41;1
43;40;1
43;44;1
60;70;1
60;41;1
60;40;1
45;39;1
45;48;1
45;41;1
34;41;1
34;33;1
41;40;1
41;44;1
41;43;1
31;34;1
31;3;1
31;41;1
40;44;1
40;45;1
40;41;1
44;40;1
44;41;1
44;43;1
32;34;1
32;33;1
32;39;1
16;44;1
16;41;1
39;24;1
39;41;1
39;45;1
48;39;1
48;45;1
48;41;1
33;34;1
33;35;1
33;36;1
20;37;1
20;35;1
20;38;1
35;57;1
35;38;1
35;36;1
37;39;1
37;38;1
21;18;1
21;23;1
21;38;1
36;35;1
36;34;1
36;57;1
38;37;1
38;35;1
38;21;1
25;34;1
25;22;1
25;24;1
27;34;1
22;25;1
22;39;1
22;24;1
23;39;1
23;44;1
23;24;1
8;23;1
8;9;1
24;23;1
24;39;1
13;11;1
29;41;1
29;17;1
29;18;1
14;29;1
14;19;1
14;28;1
9;34;1
9;17;1
9;7;1
18;20;1
18;19;1
28;14;1
28;7;1
28;19;1
11;13;1
11;9;1
7;9;1
7;68;1
7;17;1
19;31;1
19;14;1
19;28;1
17;7;1
17;18;1
17;41;1
