nod_sal;nod_ent;cap
1;277;1
1;59;1
1;133;1
1;604;1
1;399;1
1;556;1
2;266;1
2;612;1
3;266;1
3;183;1
3;346;1
4;609;1
4;378;1
4;5;1
4;353;1
4;46;1
4;485;1
4;300;1
4;66;1
4;186;1
4;229;1
558;228;1
558;183;1
558;10;1
558;152;1
558;395;1
5;266;1
5;288;1
5;255;1
5;337;1
6;504;1
7;430;1
7;164;1
7;487;1
7;479;1
7;519;1
8;294;1
8;266;1
8;306;1
8;340;1
8;36;1
8;445;1
8;584;1
9;279;1
9;435;1
9;74;1
9;99;1
9;370;1
10;318;1
10;289;1
10;207;1
10;290;1
10;250;1
10;594;1
10;435;1
10;255;1
10;56;1
10;132;1
10;447;1
10;90;1
10;10;1
10;266;1
10;16;1
10;35;1
10;249;1
10;230;1
10;57;1
10;58;1
10;190;1
10;612;1
10;108;1
10;24;1
10;466;1
10;68;1
10;352;1
10;499;1
11;394;1
11;259;1
12;213;1
12;486;1
12;265;1
12;39;1
12;175;1
12;260;1
13;549;1
13;619;1
13;32;1
14;353;1
15;265;1
15;327;1
16;266;1
16;8;1
16;35;1
16;68;1
16;455;1
16;506;1
16;44;1
16;433;1
16;57;1
17;517;1
17;120;1
17;5;1
17;546;1
17;335;1
17;238;1
17;375;1
17;118;1
17;275;1
17;614;1
17;467;1
17;76;1
18;186;1
18;609;1
18;46;1
18;300;1
18;66;1
19;266;1
409;266;1
409;419;1
409;582;1
409;144;1
409;600;1
21;325;1
21;356;1
21;482;1
21;239;1
21;243;1
21;17;1
22;517;1
22;442;1
22;330;1
22;335;1
23;28;1
23;188;1
23;105;1
23;23;1
23;43;1
24;435;1
24;59;1
24;129;1
24;258;1
24;289;1
24;278;1
24;183;1
24;35;1
24;158;1
24;228;1
24;344;1
24;55;1
24;68;1
25;548;1
25;24;1
25;503;1
25;307;1
25;502;1
25;592;1
26;364;1
27;24;1
28;425;1
29;148;1
29;24;1
29;528;1
30;50;1
31;127;1
32;286;1
32;425;1
32;544;1
32;358;1
32;508;1
32;509;1
32;492;1
32;170;1
32;596;1
32;42;1
32;64;1
32;328;1
32;267;1
32;49;1
32;180;1
32;547;1
32;519;1
32;143;1
32;450;1
32;270;1
32;525;1
32;489;1
32;516;1
32;194;1
32;316;1
33;90;1
33;266;1
33;184;1
33;612;1
33;365;1
33;582;1
33;160;1
33;4;1
358;544;1
358;505;1
358;119;1
358;44;1
358;525;1
358;509;1
358;165;1
358;166;1
358;128;1
358;396;1
358;597;1
358;80;1
358;516;1
358;49;1
358;449;1
358;180;1
358;519;1
358;336;1
358;308;1
358;492;1
358;573;1
358;314;1
358;64;1
358;46;1
358;533;1
527;553;1
527;8;1
527;518;1
527;182;1
527;559;1
527;520;1
527;353;1
527;463;1
527;225;1
527;236;1
527;537;1
527;404;1
527;364;1
527;196;1
527;389;1
527;499;1
527;88;1
518;182;1
518;404;1
518;225;1
518;236;1
35;90;1
35;420;1
35;255;1
35;266;1
35;374;1
35;209;1
36;537;1
36;384;1
36;290;1
36;390;1
36;132;1
36;598;1
36;339;1
36;88;1
36;90;1
36;10;1
36;266;1
36;602;1
36;57;1
36;59;1
36;612;1
36;440;1
36;616;1
36;196;1
36;199;1
36;619;1
36;244;1
37;50;1
38;390;1
39;519;1
412;450;1
41;345;1
41;334;1
41;353;1
41;539;1
41;485;1
41;25;1
42;435;1
42;266;1
42;595;1
42;398;1
42;63;1
42;466;1
42;194;1
42;110;1
42;612;1
42;322;1
42;122;1
42;283;1
43;468;1
44;254;1
44;103;1
44;266;1
44;37;1
44;578;1
44;40;1
44;35;1
44;230;1
44;84;1
44;506;1
44;68;1
45;266;1
181;497;1
181;332;1
181;210;1
181;53;1
47;418;1
47;56;1
47;87;1
47;318;1
47;579;1
47;12;1
47;68;1
48;476;1
48;6;1
48;509;1
49;519;1
49;525;1
49;165;1
50;294;1
50;513;1
50;72;1
50;197;1
50;189;1
51;545;1
51;8;1
51;172;1
51;484;1
51;132;1
51;290;1
51;183;1
51;35;1
51;184;1
51;563;1
51;579;1
51;390;1
51;68;1
51;34;1
53;114;1
53;495;1
54;123;1
55;266;1
55;276;1
55;90;1
55;537;1
56;22;1
56;159;1
56;155;1
56;438;1
56;253;1
56;79;1
56;453;1
56;215;1
57;69;1
57;384;1
57;117;1
57;8;1
57;598;1
57;506;1
57;390;1
57;480;1
57;360;1
57;129;1
57;440;1
57;14;1
57;132;1
57;218;1
57;339;1
57;585;1
57;88;1
57;90;1
57;10;1
57;266;1
57;602;1
57;183;1
57;35;1
57;376;1
57;604;1
57;230;1
57;199;1
57;103;1
57;346;1
57;290;1
57;612;1
57;7;1
57;236;1
57;578;1
57;36;1
57;466;1
57;239;1
57;196;1
57;617;1
57;618;1
57;245;1
57;352;1
57;68;1
57;152;1
58;265;1
58;149;1
59;90;1
59;10;1
59;266;1
59;602;1
59;435;1
59;538;1
59;36;1
59;604;1
59;612;1
59;617;1
59;303;1
59;88;1
60;266;1
60;117;1
61;266;1
61;36;1
61;440;1
61;390;1
61;199;1
62;245;1
63;393;1
63;286;1
63;266;1
63;267;1
63;170;1
63;450;1
63;270;1
63;194;1
63;612;1
63;283;1
64;140;1
64;449;1
64;573;1
64;519;1
64;505;1
64;603;1
64;46;1
64;165;1
65;499;1
66;609;1
66;334;1
66;46;1
66;300;1
66;186;1
66;25;1
67;142;1
68;246;1
68;420;1
68;318;1
68;69;1
68;8;1
68;292;1
68;250;1
68;506;1
68;108;1
68;390;1
68;594;1
68;254;1
68;435;1
68;324;1
68;56;1
68;132;1
68;45;1
68;446;1
68;199;1
68;90;1
68;10;1
68;182;1
68;266;1
68;289;1
68;339;1
68;373;1
68;35;1
68;184;1
68;604;1
68;249;1
68;326;1
68;230;1
68;255;1
68;147;1
68;58;1
68;190;1
68;103;1
68;290;1
68;612;1
68;353;1
68;578;1
68;42;1
68;466;1
68;579;1
68;532;1
68;470;1
68;352;1
68;417;1
68;499;1
69;266;1
69;289;1
69;8;1
69;35;1
69;604;1
69;506;1
69;199;1
69;243;1
70;254;1
70;386;1
70;499;1
71;318;1
71;384;1
71;206;1
71;289;1
71;250;1
71;73;1
71;506;1
71;108;1
71;594;1
71;435;1
71;324;1
71;537;1
71;56;1
71;440;1
71;18;1
71;474;1
71;117;1
71;600;1
71;90;1
71;10;1
71;182;1
71;266;1
71;602;1
71;270;1
71;404;1
71;35;1
71;249;1
71;343;1
71;230;1
71;276;1
71;58;1
71;103;1
71;612;1
71;236;1
71;578;1
71;466;1
71;190;1
71;255;1
71;617;1
71;499;1
71;245;1
72;266;1
72;496;1
73;270;1
73;25;1
420;58;1
420;90;1
420;255;1
420;266;1
420;156;1
420;129;1
420;289;1
420;466;1
420;344;1
486;526;1
486;213;1
486;116;1
486;265;1
486;146;1
486;175;1
486;260;1
486;242;1
486;39;1
76;517;1
76;120;1
76;5;1
76;335;1
76;238;1
76;118;1
76;275;1
76;614;1
76;76;1
78;380;1
79;332;1
79;22;1
79;155;1
79;438;1
79;253;1
79;215;1
79;453;1
79;159;1
80;547;1
80;519;1
80;508;1
80;596;1
80;415;1
80;86;1
80;492;1
81;139;1
82;30;1
82;564;1
83;262;1
83;585;1
83;410;1
83;172;1
83;452;1
83;390;1
84;90;1
84;255;1
84;318;1
84;266;1
84;289;1
84;466;1
85;375;1
85;546;1
85;330;1
86;519;1
86;336;1
86;508;1
86;293;1
87;579;1
88;290;1
88;390;1
88;480;1
88;258;1
88;132;1
88;598;1
