nod_sal;nod_ent;cap
1;75;1
1;829;1
2;432;1
3;1014;1
3;673;1
3;446;1
4;52;1
4;71;1
4;188;1
4;261;1
4;277;1
4;283;1
4;295;1
4;341;1
4;424;1
5;86;1
5;269;1
5;328;1
6;73;1
6;630;1
6;222;1
6;816;1
7;213;1
7;481;1
8;97;1
8;383;1
9;125;1
10;231;1
11;81;1
11;565;1
11;230;1
11;329;1
11;383;1
11;959;1
11;454;1
12;460;1
13;270;1
13;366;1
14;1084;1
15;59;1
15;66;1
15;77;1
15;97;1
15;100;1
15;211;1
15;438;1
15;445;1
16;73;1
16;74;1
16;133;1
16;308;1
17;1044;1
17;850;1
17;359;1
17;909;1
18;56;1
18;57;1
18;209;1
18;284;1
18;335;1
19;30;1
19;140;1
20;58;1
20;389;1
21;136;1
22;365;1
23;39;1
23;392;1
24;485;1
25;71;1
26;116;1
26;806;1
26;460;1
27;101;1
28;177;1
28;337;1
29;94;1
31;389;1
32;704;1
33;38;1
33;1051;1
34;1080;1
34;428;1
35;379;1
35;396;1
36;184;1
36;605;1
36;247;1
36;266;1
36;293;1
36;431;1
37;436;1
38;125;1
39;650;1
40;125;1
40;541;1
40;610;1
40;852;1
40;853;1
41;267;1
42;366;1
42;421;1
43;496;1
43;329;1
43;383;1
44;59;1
45;124;1
45;159;1
45;239;1
45;275;1
46;55;1
47;278;1
47;327;1
48;151;1
48;175;1
49;317;1
50;210;1
50;238;1
51;982;1
51;1052;1
51;809;1
51;811;1
51;346;1
52;188;1
52;261;1
52;283;1
52;295;1
53;62;1
53;287;1
53;470;1
54;118;1
54;390;1
55;1082;1
55;517;1
55;172;1
55;202;1
55;272;1
55;274;1
55;708;1
55;761;1
56;57;1
56;92;1
56;335;1
57;91;1
57;335;1
58;389;1
58;413;1
59;460;1
59;464;1
60;63;1
60;145;1
60;440;1
61;116;1
62;130;1
63;145;1
63;229;1
64;113;1
64;532;1
65;125;1
67;367;1
67;909;1
68;81;1
68;152;1
68;329;1
68;383;1
69;90;1
70;995;1
71;183;1
72;630;1
72;645;1
73;74;1
73;494;1
73;133;1
73;202;1
73;308;1
73;767;1
74;133;1
74;308;1
75;349;1
76;342;1
77;296;1
78;200;1
78;436;1
79;613;1
79;661;1
79;247;1
79;664;1
79;253;1
79;736;1
79;750;1
79;322;1
79;466;1
80;354;1
81;152;1
81;176;1
81;209;1
81;230;1
81;313;1
81;383;1
81;410;1
82;245;1
82;407;1
83;85;1
84;419;1
86;269;1
86;328;1
87;394;1
88;541;1
88;244;1
89;1057;1
89;829;1
91;92;1
91;335;1
92;335;1
93;254;1
95;493;1
95;120;1
95;506;1
95;804;1
96;138;1
97;100;1
97;126;1
97;211;1
97;438;1
97;445;1
98;164;1
98;414;1
99;257;1
99;829;1
100;126;1
100;211;1
100;438;1
100;445;1
101;151;1
101;172;1
101;175;1
101;468;1
101;913;1
102;123;1
103;982;1
103;227;1
104;132;1
105;462;1
106;140;1
107;108;1
107;216;1
107;839;1
107;371;1
109;248;1
110;1075;1
110;125;1
110;313;1
110;838;1
111;1052;1
111;167;1
111;378;1
112;177;1
113;1044;1
113;514;1
113;150;1
113;160;1
113;198;1
113;651;1
113;240;1
113;327;1
113;829;1
114;814;1
114;437;1
115;428;1
116;318;1
116;386;1
117;180;1
118;317;1
118;390;1
119;196;1
119;230;1
121;231;1
121;313;1
121;909;1
122;384;1
124;159;1
124;275;1
125;983;1
125;1039;1
125;1047;1
125;514;1
125;529;1
125;531;1
125;541;1
125;162;1
125;637;1
125;640;1
125;779;1
125;863;1
125;865;1
126;211;1
126;236;1
126;438;1
126;445;1
127;348;1
127;432;1
128;1084;1
129;665;1
129;788;1
129;487;1
129;333;1
129;351;1
130;626;1
130;250;1
131;155;1
131;250;1
131;329;1
131;355;1
131;430;1
132;429;1
