nod_sal;nod_ent;cap
1;2;1
1;3;1
2;4;1
3;5;1
3;4;1
4;6;1
4;7;1
4;8;1
4;9;1
4;10;1
4;11;1
4;12;1
4;13;1
4;14;1
13;15;1
13;16;1
16;17;1
16;18;1
16;19;1
14;20;1
20;21;1
20;22;1
20;23;1
20;24;1
25;26;1
26;27;1
26;28;1
26;29;1
26;30;1
31;32;1
33;34;1
35;36;1
36;37;1
36;38;1
36;39;1
36;40;1
36;41;1
36;42;1
36;43;1
36;44;1
36;45;1
36;46;1
36;47;1
36;48;1
36;49;1
50;51;1
52;53;1
54;55;1
56;57;1
58;59;1
59;60;1
59;61;1
59;62;1
63;64;1
65;66;1
67;68;1
67;69;1
67;70;1
67;71;1
67;72;1
67;73;1
73;74;1
73;75;1
74;76;1
75;77;1
77;78;1
77;79;1
77;80;1
77;81;1
77;82;1
77;83;1
77;84;1
77;85;1
77;86;1
77;87;1
77;88;1
77;89;1
77;90;1
77;91;1
77;92;1
81;93;1
88;94;1
91;94;1
91;95;1
91;96;1
91;97;1
94;98;1
94;99;1
94;100;1
94;101;1
94;102;1
103;96;1
92;104;1
92;105;1
92;106;1
92;107;1
93;108;1
93;109;1
93;110;1
93;111;1
93;112;1
93;113;1
93;114;1
93;115;1
93;116;1
93;117;1
93;118;1
93;119;1
93;120;1
93;121;1
93;122;1
93;123;1
93;124;1
93;125;1
93;126;1
93;127;1
93;128;1
93;129;1
93;130;1
93;131;1
93;132;1
93;133;1
93;134;1
93;135;1
118;136;1
125;97;1
126;137;1
126;138;1
126;97;1
126;128;1
127;139;1
128;140;1
128;141;1
128;142;1
128;139;1
129;140;1
129;139;1
130;140;1
131;140;1
131;139;1
132;140;1
133;140;1
134;143;1
134;144;1
134;145;1
134;146;1
134;147;1
135;148;1
135;149;1
135;150;1
135;151;1
135;152;1
135;153;1
135;154;1
135;140;1
140;155;1
140;156;1
140;157;1
140;158;1
157;139;1
157;97;1
139;159;1
139;160;1
97;161;1
97;162;1
97;163;1
97;164;1
97;165;1
97;166;1
97;167;1
97;168;1
97;169;1
97;170;1
97;171;1
97;172;1
168;173;1
169;174;1
169;175;1
173;176;1
177;178;1
178;179;1
178;180;1
179;181;1
181;180;1
180;182;1
180;183;1
180;184;1
180;185;1
180;186;1
180;187;1
180;188;1
180;189;1
180;190;1
188;191;1
189;191;1
190;191;1
191;192;1
193;194;1
194;195;1
194;196;1
197;198;1
199;200;1
201;202;1
203;204;1
205;206;1
207;208;1
209;210;1
211;212;1
213;214;1
214;215;1
214;216;1
216;217;1
218;219;1
220;221;1
222;223;1
224;225;1
226;227;1
228;229;1
230;231;1
230;232;1
230;233;1
230;234;1
230;235;1
230;236;1
230;237;1
230;238;1
230;239;1
230;240;1
241;242;1
241;243;1
241;244;1
241;245;1
241;246;1
241;247;1
241;248;1
241;249;1
241;250;1
241;251;1
241;252;1
241;253;1
241;254;1
241;255;1
241;256;1
241;257;1
241;258;1
241;259;1
241;260;1
241;261;1
241;262;1
241;263;1
241;264;1
241;265;1
241;266;1
241;267;1
241;268;1
241;269;1
241;270;1
241;271;1
241;272;1
241;273;1
241;274;1
241;275;1
242;276;1
246;277;1
251;278;1
252;278;1
252;279;1
268;280;1
276;281;1
276;282;1
276;283;1
276;284;1
276;285;1
276;286;1
280;287;1
287;288;1
289;278;1
279;290;1
290;291;1
2;1;1
3;1;1
4;2;1
5;3;1
4;3;1
6;4;1
7;4;1
8;4;1
9;4;1
10;4;1
11;4;1
12;4;1
13;4;1
14;4;1
15;13;1
16;13;1
17;16;1
18;16;1
19;16;1
20;14;1
21;20;1
22;20;1
23;20;1
24;20;1
26;25;1
27;26;1
28;26;1
29;26;1
30;26;1
32;31;1
34;33;1
36;35;1
37;36;1
38;36;1
39;36;1
40;36;1
41;36;1
42;36;1
43;36;1
44;36;1
45;36;1
46;36;1
47;36;1
48;36;1
49;36;1
51;50;1
53;52;1
55;54;1
57;56;1
59;58;1
60;59;1
61;59;1
62;59;1
64;63;1
66;65;1
68;67;1
69;67;1
70;67;1
71;67;1
72;67;1
73;67;1
74;73;1
75;73;1
76;74;1
77;75;1
78;77;1
79;77;1
80;77;1
81;77;1
82;77;1
83;77;1
84;77;1
85;77;1
86;77;1
87;77;1
88;77;1
89;77;1
90;77;1
91;77;1
92;77;1
93;81;1
94;88;1
94;91;1
95;91;1
96;91;1
97;91;1
98;94;1
99;94;1
100;94;1
101;94;1
102;94;1
96;103;1
104;92;1
105;92;1
106;92;1
107;92;1
108;93;1
109;93;1
110;93;1
111;93;1
112;93;1
113;93;1
114;93;1
115;93;1
116;93;1
117;93;1
118;93;1
119;93;1
120;93;1
121;93;1
122;93;1
123;93;1
124;93;1
125;93;1
126;93;1
127;93;1
128;93;1
129;93;1
130;93;1
131;93;1
132;93;1
133;93;1
134;93;1
135;93;1
136;118;1
97;125;1
137;126;1
138;126;1
97;126;1
128;126;1
139;127;1
140;128;1
141;128;1
142;128;1
139;128;1
140;129;1
139;129;1
140;130;1
140;131;1
139;131;1
140;132;1
140;133;1
143;134;1
144;134;1
145;134;1
146;134;1
147;134;1
148;135;1
149;135;1
150;135;1
151;135;1
152;135;1
153;135;1
154;135;1
140;135;1
155;140;1
156;140;1
157;140;1
158;140;1
139;157;1
97;157;1
159;139;1
160;139;1
161;97;1
162;97;1
163;97;1
164;97;1
165;97;1
166;97;1
167;97;1
168;97;1
169;97;1
170;97;1
171;97;1
172;97;1
173;168;1
174;169;1
175;169;1
176;173;1
178;177;1
179;178;1
180;178;1
181;179;1
180;181;1
182;180;1
183;180;1
184;180;1
185;180;1
186;180;1
187;180;1
188;180;1
189;180;1
190;180;1
191;188;1
191;189;1
191;190;1
192;191;1
194;193;1
195;194;1
196;194;1
198;197;1
200;199;1
202;201;1
204;203;1
206;205;1
208;207;1
210;209;1
212;211;1
214;213;1
215;214;1
216;214;1
217;216;1
219;218;1
221;220;1
223;222;1
225;224;1
227;226;1
229;228;1
231;230;1
232;230;1
233;230;1
234;230;1
235;230;1
236;230;1
237;230;1
238;230;1
239;230;1
240;230;1
242;241;1
243;241;1
244;241;1
245;241;1
246;241;1
247;241;1
248;241;1
249;241;1
250;241;1
251;241;1
252;241;1
253;241;1
254;241;1
255;241;1
256;241;1
257;241;1
258;241;1
259;241;1
260;241;1
261;241;1
262;241;1
263;241;1
264;241;1
265;241;1
266;241;1
267;241;1
268;241;1
269;241;1
270;241;1
271;241;1
272;241;1
273;241;1
274;241;1
275;241;1
276;242;1
277;246;1
278;251;1
278;252;1
279;252;1
280;268;1
281;276;1
282;276;1
283;276;1
284;276;1
285;276;1
286;276;1
287;280;1
288;287;1
278;289;1
290;279;1
291;290;1
