nod_sal;nod_ent;cap
1;2;1
3;2;1
4;2;1
5;2;1
2;6;1
2;7;1
2;8;1
8;9;1
10;9;1
11;9;1
11;12;1
12;9;1
13;9;1
14;9;1
15;9;1
16;9;1
17;9;1
17;16;1
18;17;1
19;17;1
20;17;1
21;17;1
22;17;1
23;17;1
24;17;1
25;17;1
26;17;1
18;19;1
18;26;1
27;26;1
28;26;1
29;26;1
30;26;1
26;16;1
26;31;1
32;28;1
33;28;1
34;28;1
35;28;1
36;28;1
37;28;1
38;28;1
32;33;1
32;9;1
39;9;1
40;9;1
24;26;1
25;26;1
16;41;1
41;42;1
43;41;1
44;41;1
42;45;1
41;45;1
46;45;1
44;45;1
47;45;1
16;45;1
45;9;1
48;45;1
49;45;1
50;45;1
51;45;1
52;45;1
53;45;1
54;45;1
55;45;1
56;45;1
57;53;1
53;58;1
17;45;1
59;45;1
60;45;1
61;45;1
61;60;1
62;60;1
63;61;1
64;61;1
64;59;1
64;45;1
31;64;1
60;65;1
16;66;1
66;9;1
66;64;1
67;66;1
68;66;1
69;66;1
70;66;1
71;66;1
72;66;1
73;66;1
74;66;1
75;66;1
75;64;1
16;44;1
59;65;1
65;45;1
64;65;1
64;60;1
64;63;1
63;45;1
26;64;1
16;75;1
26;9;1
8;32;1
32;10;1
69;9;1
74;9;1
68;70;1
64;70;1
10;45;1
64;67;1
70;74;1
2;1;1
2;3;1
2;4;1
2;5;1
6;2;1
7;2;1
8;2;1
9;8;1
9;10;1
9;11;1
12;11;1
9;12;1
9;13;1
9;14;1
9;15;1
9;16;1
9;17;1
16;17;1
17;18;1
17;19;1
17;20;1
17;21;1
17;22;1
17;23;1
17;24;1
17;25;1
17;26;1
19;18;1
26;18;1
26;27;1
26;28;1
26;29;1
26;30;1
16;26;1
31;26;1
28;32;1
28;33;1
28;34;1
28;35;1
28;36;1
28;37;1
28;38;1
33;32;1
9;32;1
9;39;1
9;40;1
26;24;1
26;25;1
41;16;1
42;41;1
41;43;1
41;44;1
45;42;1
45;41;1
45;46;1
45;44;1
45;47;1
45;16;1
9;45;1
45;48;1
45;49;1
45;50;1
45;51;1
45;52;1
45;53;1
45;54;1
45;55;1
45;56;1
53;57;1
58;53;1
45;17;1
45;59;1
45;60;1
45;61;1
60;61;1
60;62;1
61;63;1
61;64;1
59;64;1
45;64;1
64;31;1
65;60;1
66;16;1
9;66;1
64;66;1
66;67;1
66;68;1
66;69;1
66;70;1
66;71;1
66;72;1
66;73;1
66;74;1
66;75;1
64;75;1
44;16;1
65;59;1
45;65;1
65;64;1
60;64;1
63;64;1
45;63;1
64;26;1
75;16;1
9;26;1
32;8;1
10;32;1
9;69;1
9;74;1
70;68;1
70;64;1
45;10;1
67;64;1
74;70;1
