nod_sal;nod_ent;cap
1;63;1
1;74;1
1;87;1
2;63;1
2;80;1
2;94;1
2;95;1
2;97;1
3;63;1
3;97;1
3;98;1
4;63;1
4;79;1
4;85;1
5;63;1
5;64;1
5;91;1
6;63;1
6;95;1
6;102;1
7;63;1
7;79;1
8;63;1
8;90;1
8;91;1
8;95;1
9;63;1
9;81;1
10;63;1
10;87;1
11;63;1
11;65;1
11;67;1
11;68;1
11;82;1
12;63;1
12;64;1
13;63;1
13;64;1
13;65;1
14;63;1
14;66;1
15;63;1
15;70;1
16;64;1
17;63;1
18;67;1
19;65;1
19;66;1
19;68;1
19;69;1
20;68;1
20;69;1
21;67;1
21;68;1
22;63;1
22;80;1
22;96;1
22;97;1
22;99;1
23;64;1
23;97;1
24;76;1
25;74;1
25;75;1
26;72;1
26;73;1
27;77;1
28;90;1
28;99;1
29;72;1
29;75;1
30;63;1
30;80;1
30;82;1
30;83;1
30;87;1
30;88;1
30;90;1
31;81;1
31;92;1
31;93;1
31;101;1
32;87;1
32;92;1
33;73;1
33;81;1
33;87;1
33;92;1
33;94;1
33;95;1
33;96;1
33;97;1
34;79;1
35;87;1
35;93;1
35;94;1
36;63;1
36;79;1
36;92;1
36;93;1
36;96;1
36;98;1
37;82;1
37;83;1
37;87;1
38;79;1
38;80;1
38;92;1
39;79;1
39;87;1
39;92;1
39;93;1
40;70;1
40;73;1
40;76;1
40;87;1
41;79;1
41;93;1
41;95;1
42;77;1
42;79;1
42;81;1
42;91;1
42;93;1
42;96;1
42;100;1
43;64;1
43;79;1
43;88;1
44;75;1
44;79;1
44;81;1
44;84;1
44;85;1
44;87;1
44;93;1
45;79;1
46;79;1
46;99;1
47;85;1
47;89;1
47;91;1
48;87;1
49;89;1
50;71;1
50;81;1
50;92;1
50;100;1
51;87;1
51;97;1
51;98;1
51;99;1
51;101;1
52;79;1
52;80;1
52;81;1
52;82;1
52;83;1
52;85;1
52;99;1
53;79;1
53;81;1
53;82;1
53;86;1
53;89;1
53;90;1
53;92;1
53;95;1
54;80;1
54;84;1
54;99;1
55;82;1
55;85;1
55;93;1
55;94;1
56;74;1
56;81;1
57;80;1
57;100;1
58;71;1
58;84;1
58;90;1
58;100;1
59;84;1
59;85;1
59;91;1
60;71;1
60;102;1
61;102;1
62;83;1
62;94;1
63;1;1
74;1;1
87;1;1
63;2;1
80;2;1
94;2;1
95;2;1
97;2;1
63;3;1
97;3;1
98;3;1
63;4;1
79;4;1
85;4;1
63;5;1
64;5;1
91;5;1
63;6;1
95;6;1
102;6;1
63;7;1
79;7;1
63;8;1
90;8;1
91;8;1
95;8;1
63;9;1
81;9;1
63;10;1
87;10;1
63;11;1
65;11;1
67;11;1
68;11;1
82;11;1
63;12;1
64;12;1
63;13;1
64;13;1
65;13;1
63;14;1
66;14;1
63;15;1
70;15;1
64;16;1
63;17;1
67;18;1
65;19;1
66;19;1
68;19;1
69;19;1
68;20;1
69;20;1
67;21;1
68;21;1
63;22;1
80;22;1
96;22;1
97;22;1
99;22;1
64;23;1
97;23;1
76;24;1
74;25;1
75;25;1
72;26;1
73;26;1
77;27;1
90;28;1
99;28;1
72;29;1
75;29;1
63;30;1
80;30;1
82;30;1
83;30;1
87;30;1
88;30;1
90;30;1
81;31;1
92;31;1
93;31;1
101;31;1
87;32;1
92;32;1
73;33;1
81;33;1
87;33;1
92;33;1
94;33;1
95;33;1
96;33;1
97;33;1
79;34;1
87;35;1
93;35;1
94;35;1
63;36;1
79;36;1
92;36;1
93;36;1
96;36;1
98;36;1
82;37;1
83;37;1
87;37;1
79;38;1
80;38;1
92;38;1
79;39;1
87;39;1
92;39;1
93;39;1
70;40;1
73;40;1
76;40;1
87;40;1
79;41;1
93;41;1
95;41;1
77;42;1
79;42;1
81;42;1
91;42;1
93;42;1
96;42;1
100;42;1
64;43;1
79;43;1
88;43;1
75;44;1
79;44;1
81;44;1
84;44;1
85;44;1
87;44;1
93;44;1
79;45;1
79;46;1
99;46;1
85;47;1
89;47;1
91;47;1
87;48;1
89;49;1
71;50;1
81;50;1
92;50;1
100;50;1
87;51;1
97;51;1
98;51;1
99;51;1
101;51;1
79;52;1
80;52;1
81;52;1
82;52;1
83;52;1
85;52;1
99;52;1
79;53;1
81;53;1
82;53;1
86;53;1
89;53;1
90;53;1
92;53;1
95;53;1
80;54;1
84;54;1
99;54;1
82;55;1
85;55;1
93;55;1
94;55;1
74;56;1
81;56;1
80;57;1
100;57;1
71;58;1
84;58;1
90;58;1
100;58;1
84;59;1
85;59;1
91;59;1
71;60;1
102;60;1
102;61;1
83;62;1
94;62;1
