nod_sal;nod_ent;cap
78;25;1
24;25;1
26;25;1
38;25;1
78;28;1
7;28;1
24;28;1
26;28;1
38;28;1
78;53;1
39;53;1
13;53;1
7;53;1
18;53;1
24;53;1
26;53;1
38;53;1
50;53;1
77;53;1
4;53;1
23;53;1
71;53;1
50;53;1
78;24;1
7;24;1
18;24;1
26;24;1
38;24;1
50;24;1
69;24;1
77;24;1
4;24;1
71;24;1
50;24;1
11;12;1
78;12;1
2;12;1
10;12;1
14;12;1
80;12;1
39;12;1
13;12;1
41;12;1
24;12;1
26;12;1
38;12;1
69;12;1
77;12;1
71;12;1
72;12;1
3;12;1
78;31;1
39;31;1
13;31;1
41;31;1
66;31;1
26;31;1
38;31;1
77;31;1
78;23;1
39;23;1
13;23;1
7;23;1
18;23;1
24;23;1
26;23;1
38;23;1
50;23;1
69;23;1
77;23;1
4;23;1
53;23;1
71;23;1
72;23;1
78;46;1
7;46;1
24;46;1
26;46;1
38;46;1
68;63;1
13;63;1
7;63;1
24;63;1
26;63;1
38;63;1
78;77;1
39;77;1
13;77;1
31;77;1
34;77;1
7;77;1
18;77;1
24;77;1
26;77;1
36;77;1
38;77;1
50;77;1
69;77;1
4;77;1
71;77;1
72;77;1
78;69;1
39;69;1
13;69;1
41;69;1
7;69;1
24;69;1
26;69;1
38;69;1
50;69;1
61;69;1
77;69;1
4;69;1
71;69;1
72;69;1
78;13;1
39;13;1
31;13;1
41;13;1
66;13;1
26;13;1
38;13;1
77;13;1
78;70;1
39;70;1
13;70;1
31;70;1
34;70;1
35;70;1
41;70;1
45;70;1
66;70;1
73;70;1
7;70;1
24;70;1
26;70;1
38;70;1
50;70;1
77;70;1
3;70;1
78;72;1
39;72;1
7;72;1
18;72;1
24;72;1
26;72;1
38;72;1
50;72;1
77;72;1
4;72;1
78;32;1
39;32;1
7;32;1
18;32;1
24;32;1
26;32;1
38;32;1
50;32;1
69;32;1
77;32;1
4;32;1
71;32;1
72;32;1
67;32;1
17;32;1
78;71;1
39;71;1
13;71;1
7;71;1
18;71;1
24;71;1
26;71;1
38;71;1
50;71;1
61;71;1
77;71;1
4;71;1
23;71;1
53;71;1
72;71;1
60;71;1
78;11;1
48;11;1
39;11;1
13;11;1
41;11;1
24;11;1
26;11;1
38;11;1
77;11;1
78;33;1
18;33;1
24;33;1
26;33;1
38;33;1
50;33;1
77;33;1
4;33;1
23;33;1
53;33;1
71;33;1
78;35;1
39;35;1
13;35;1
31;35;1
41;35;1
45;35;1
66;35;1
73;35;1
26;35;1
38;35;1
50;35;1
77;35;1
4;35;1
3;35;1
78;55;1
39;55;1
13;55;1
41;55;1
66;55;1
24;55;1
26;55;1
38;55;1
50;55;1
77;55;1
78;18;1
39;18;1
13;18;1
7;18;1
24;18;1
26;18;1
38;18;1
50;18;1
77;18;1
4;18;1
23;18;1
53;18;1
71;18;1
72;18;1
60;18;1
78;22;1
10;22;1
39;22;1
13;22;1
31;22;1
34;22;1
45;22;1
66;22;1
73;22;1
77;22;1
3;22;1
51;22;1
11;78;1
10;78;1
48;78;1
39;78;1
13;78;1
31;78;1
34;78;1
41;78;1
24;78;1
26;78;1
38;78;1
77;78;1
71;78;1
72;78;1
78;26;1
39;26;1
13;26;1
41;26;1
7;26;1
18;26;1
24;26;1
38;26;1
50;26;1
69;26;1
77;26;1
4;26;1
71;26;1
72;26;1
67;26;1
17;26;1
32;26;1
60;26;1
78;50;1
39;50;1
13;50;1
31;50;1
41;50;1
7;50;1
18;50;1
24;50;1
26;50;1
38;50;1
77;50;1
4;50;1
71;50;1
72;50;1
78;16;1
39;16;1
13;16;1
7;16;1
18;16;1
24;16;1
26;16;1
27;16;1
38;16;1
50;16;1
69;16;1
77;16;1
71;16;1
11;51;1
78;51;1
39;51;1
13;51;1
31;51;1
34;51;1
41;51;1
66;51;1
7;51;1
26;51;1
38;51;1
77;51;1
4;51;1
71;51;1
72;51;1
3;51;1
78;7;1
39;7;1
13;7;1
18;7;1
24;7;1
26;7;1
38;7;1
50;7;1
69;7;1
77;7;1
4;7;1
71;7;1
72;7;1
78;39;1
13;39;1
31;39;1
35;39;1
41;39;1
45;39;1
66;39;1
73;39;1
24;39;1
26;39;1
38;39;1
77;39;1
71;39;1
72;39;1
78;38;1
39;38;1
13;38;1
7;38;1
24;38;1
26;38;1
50;38;1
69;38;1
77;38;1
4;38;1
71;38;1
72;38;1
67;38;1
11;3;1
78;3;1
39;3;1
13;3;1
31;3;1
34;3;1
41;3;1
45;3;1
66;3;1
73;3;1
24;3;1
26;3;1
38;3;1
77;3;1
4;3;1
71;3;1
72;3;1
51;3;1
26;62;1
38;62;1
4;62;1
32;62;1
64;62;1
11;48;1
78;48;1
10;48;1
39;48;1
24;48;1
26;48;1
69;48;1
78;59;1
39;59;1
13;59;1
31;59;1
34;59;1
35;59;1
41;59;1
45;59;1
66;59;1
26;59;1
50;59;1
69;59;1
77;59;1
