nod_sal;nod_ent;cap
1;19;1
1;29;1
1;30;1
1;32;1
1;33;1
1;36;1
2;20;1
2;29;1
2;33;1
3;21;1
3;23;1
3;31;1
3;33;1
4;22;1
4;23;1
5;21;1
5;23;1
5;24;1
5;29;1
5;30;1
5;31;1
5;32;1
5;33;1
6;21;1
6;22;1
6;23;1
6;24;1
6;30;1
6;31;1
6;32;1
6;33;1
6;36;1
7;25;1
7;31;1
7;32;1
7;33;1
8;26;1
8;31;1
8;33;1
9;27;1
9;31;1
9;33;1
10;28;1
10;32;1
11;19;1
11;29;1
11;31;1
11;32;1
11;33;1
11;35;1
11;36;1
12;21;1
12;30;1
13;19;1
13;21;1
13;23;1
13;25;1
13;26;1
13;27;1
13;29;1
13;31;1
13;32;1
13;33;1
13;34;1
13;35;1
13;36;1
14;19;1
14;23;1
14;29;1
14;31;1
14;32;1
14;33;1
14;36;1
15;19;1
15;23;1
15;26;1
15;29;1
15;30;1
15;31;1
15;32;1
15;33;1
15;34;1
15;35;1
15;36;1
16;29;1
16;31;1
16;32;1
16;33;1
16;34;1
16;35;1
17;31;1
17;33;1
17;35;1
18;23;1
18;29;1
18;31;1
18;32;1
18;33;1
18;36;1
19;1;1
29;1;1
30;1;1
32;1;1
33;1;1
36;1;1
20;2;1
29;2;1
33;2;1
21;3;1
23;3;1
31;3;1
33;3;1
22;4;1
23;4;1
21;5;1
23;5;1
24;5;1
29;5;1
30;5;1
31;5;1
32;5;1
33;5;1
21;6;1
22;6;1
23;6;1
24;6;1
30;6;1
31;6;1
32;6;1
33;6;1
36;6;1
25;7;1
31;7;1
32;7;1
33;7;1
26;8;1
31;8;1
33;8;1
27;9;1
31;9;1
33;9;1
28;10;1
32;10;1
19;11;1
29;11;1
31;11;1
32;11;1
33;11;1
35;11;1
36;11;1
21;12;1
30;12;1
19;13;1
21;13;1
23;13;1
25;13;1
26;13;1
27;13;1
29;13;1
31;13;1
32;13;1
33;13;1
34;13;1
35;13;1
36;13;1
19;14;1
23;14;1
29;14;1
31;14;1
32;14;1
33;14;1
36;14;1
19;15;1
23;15;1
26;15;1
29;15;1
30;15;1
31;15;1
32;15;1
33;15;1
34;15;1
35;15;1
36;15;1
29;16;1
31;16;1
32;16;1
33;16;1
34;16;1
35;16;1
31;17;1
33;17;1
35;17;1
23;18;1
29;18;1
31;18;1
32;18;1
33;18;1
36;18;1
