nod_sal;nod_ent;cap
1;2;1
1;3;3
1;4;1
1;5;1
1;6;1
1;7;4
1;8;1
1;9;1
1;10;4
1;11;1
1;12;1
1;13;2
1;14;2
1;15;2
1;16;2
1;17;1
1;18;1
1;19;1
1;20;1
1;21;1
1;22;1
1;23;1
1;24;2
1;25;2
1;26;1
1;27;1
1;28;1
1;29;1
1;30;1
2;3;1
3;4;1
3;5;1
3;7;3
3;8;1
3;9;1
3;10;2
3;11;1
3;12;1
3;13;1
3;14;1
3;15;1
3;16;2
3;17;1
3;18;1
3;19;1
3;20;1
3;21;1
3;22;1
3;23;1
3;24;1
3;25;2
3;26;1
3;28;1
3;29;1
3;30;1
4;5;1
4;17;1
4;18;1
4;20;1
4;21;1
4;22;1
4;23;1
4;25;1
5;17;1
5;18;1
5;20;1
5;21;1
5;22;1
5;23;1
5;25;1
6;17;1
6;24;1
6;26;1
6;31;1
6;32;1
6;33;1
7;8;1
7;10;3
7;11;1
7;12;1
7;13;1
7;14;2
7;15;2
7;16;3
7;21;1
7;24;1
7;25;1
7;26;1
7;27;1
7;28;2
7;29;2
7;30;1
7;34;1
7;35;1
7;36;1
7;37;1
8;9;1
8;19;1
8;34;2
9;19;1
10;11;1
10;12;1
10;13;1
10;14;2
10;15;1
10;16;2
10;21;1
10;24;1
10;25;1
10;26;1
10;27;1
10;28;1
10;29;1
10;30;2
10;38;1
11;12;1
11;13;1
11;14;1
11;15;1
11;16;1
11;29;1
12;13;1
12;14;2
12;15;2
12;16;1
12;29;1
13;14;3
13;15;2
13;16;1
13;29;1
14;15;3
14;16;1
14;29;1
14;37;1
15;16;1
15;29;1
15;39;1
16;24;1
16;25;1
16;26;1
16;28;1
16;29;1
16;30;1
16;33;1
17;18;1
17;20;1
17;21;1
17;22;1
17;23;1
17;25;1
17;40;1
17;41;1
17;42;1
17;43;1
18;20;1
18;21;1
18;22;1
18;23;1
18;25;1
18;31;1
18;40;1
18;41;1
18;44;1
18;45;1
18;54;1
19;36;1
19;55;1
19;56;1
19;57;1
20;21;1
20;22;1
20;23;1
20;25;1
20;30;1
21;22;1
21;23;1
21;25;1
22;23;1
22;25;1
22;49;1
22;58;1
22;59;1
22;60;1
23;25;1
23;58;1
23;59;1
24;25;1
24;26;1
24;28;1
24;30;1
24;49;1
25;26;1
25;28;1
25;30;1
26;28;1
26;30;1
27;30;1
30;32;1
30;63;1
30;64;1
31;40;1
31;41;1
31;44;1
31;45;1
36;39;1
36;55;1
36;56;1
36;57;2
40;41;1
40;44;1
41;44;1
44;49;1
45;46;1
46;47;1
46;48;1
46;49;1
46;50;1
46;51;1
46;52;1
46;53;1
47;50;1
47;51;1
47;52;1
47;53;1
49;50;1
49;51;1
49;52;1
49;53;1
49;59;1
49;61;1
49;62;1
50;51;1
50;52;1
50;53;1
51;52;1
51;53;1
52;53;1
55;56;1
55;57;1
56;57;1
58;59;1
59;61;1
63;64;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;1
11;1;1
12;1;1
13;1;1
14;1;1
15;1;1
16;1;1
17;1;1
18;1;1
19;1;1
20;1;1
21;1;1
22;1;1
