nod_sal;nod_ent;cap
1;2;1
2;3;1
2;5;1
1;6;1
6;8;1
6;9;1
1;11;1
4;11;1
9;11;1
6;11;1
3;11;1
5;11;1
10;11;1
1;12;1
4;12;1
6;12;1
9;12;1
12;14;1
13;14;1
21;14;1
1;16;1
4;16;1
6;16;1
8;16;1
9;16;1
6;17;1
11;17;1
4;18;1
8;18;1
9;18;1
6;18;1
11;18;1
11;19;1
18;19;1
1;20;1
4;20;1
14;20;1
21;20;1
9;20;1
6;20;1
12;20;1
13;20;1
6;21;1
22;21;1
23;21;1
1;22;1
4;22;1
6;22;1
1;23;1
4;23;1
6;23;1
9;23;1
1;24;1
6;24;1
21;24;1
23;24;1
56;24;1
13;24;1
4;25;1
6;25;1
13;25;1
23;25;1
11;27;1
17;28;1
4;30;1
6;30;1
11;30;1
19;30;1
4;31;1
6;31;1
1;32;1
6;32;1
21;32;1
22;32;1
23;32;1
1;35;1
4;35;1
6;35;1
1;36;1
1;38;1
4;38;1
6;38;1
8;38;1
9;38;1
11;38;1
18;38;1
19;38;1
29;38;1
30;38;1
27;38;1
28;38;1
21;38;1
22;38;1
35;38;1
1;41;1
6;41;1
23;43;1
46;43;1
47;43;1
4;44;1
11;44;1
4;48;1
6;48;1
11;48;1
19;48;1
21;48;1
23;48;1
32;48;1
33;48;1
4;49;1
6;49;1
11;49;1
19;49;1
21;49;1
22;49;1
23;49;1
32;49;1
4;50;1
6;50;1
11;50;1
23;50;1
26;50;1
4;52;1
6;52;1
9;52;1
11;52;1
7;52;1
30;52;1
23;52;1
35;52;1
46;52;1
50;52;1
43;53;1
44;53;1
46;53;1
47;53;1
1;54;1
4;54;1
9;54;1
11;54;1
19;54;1
30;54;1
23;54;1
35;54;1
43;54;1
46;54;1
47;54;1
6;55;1
11;55;1
21;55;1
22;55;1
23;55;1
31;55;1
32;55;1
23;56;1
4;57;1
41;57;1
42;57;1
48;57;1
54;57;1
1;57;1
6;57;1
49;57;1
55;57;1
11;58;1
21;58;1
23;58;1
32;58;1
1;61;1
4;61;1
11;61;1
52;61;1
35;61;1
9;61;1
6;61;1
19;61;1
18;61;1
22;61;1
23;61;1
21;61;1
49;61;1
20;61;1
4;63;1
6;63;1
23;63;1
32;63;1
49;63;1
1;64;1
4;64;1
6;64;1
7;64;1
9;64;1
19;64;1
21;64;1
22;64;1
23;64;1
26;64;1
31;64;1
35;64;1
32;64;1
41;64;1
45;64;1
48;64;1
50;64;1
1;65;1
4;65;1
6;65;1
9;65;1
11;65;1
19;65;1
21;65;1
26;65;1
22;65;1
23;65;1
31;65;1
35;65;1
32;65;1
41;65;1
43;65;1
44;65;1
48;65;1
49;65;1
52;65;1
46;65;1
55;65;1
64;65;1
4;73;1
6;73;1
35;73;1
52;73;1
6;74;1
1;75;1
4;75;1
6;75;1
7;75;1
9;75;1
19;75;1
21;75;1
23;75;1
35;75;1
41;75;1
45;75;1
65;75;1
1;76;1
4;76;1
6;76;1
9;76;1
11;76;1
19;76;1
21;76;1
26;76;1
22;76;1
23;76;1
35;76;1
32;76;1
41;76;1
45;76;1
49;76;1
50;76;1
64;76;1
6;77;1
21;77;1
4;79;1
55;79;1
57;79;1
67;79;1
6;80;1
21;80;1
22;80;1
23;80;1
61;80;1
62;80;1
69;80;1
70;80;1
71;80;1
72;80;1
6;81;1
61;81;1
62;81;1
52;81;1
1;82;1
4;82;1
6;82;1
9;82;1
11;82;1
19;82;1
18;82;1
21;82;1
22;82;1
23;82;1
35;82;1
32;82;1
49;82;1
52;82;1
4;84;1
6;84;1
9;84;1
11;84;1
18;84;1
21;84;1
23;84;1
35;84;1
32;84;1
48;84;1
52;84;1
70;84;1
72;84;1
69;84;1
81;84;1
6;85;1
9;85;1
21;85;1
22;85;1
23;85;1
18;85;1
35;85;1
52;85;1
49;85;1
69;85;1
72;85;1
82;85;1
86;85;1
6;86;1
9;86;1
18;86;1
21;86;1
82;86;1
6;87;1
11;87;1
35;87;1
52;87;1
73;87;1
1;88;1
6;88;1
9;88;1
11;88;1
16;88;1
19;88;1
18;88;1
21;88;1
22;88;1
23;88;1
32;88;1
41;88;1
48;88;1
13;88;1
55;88;1
57;88;1
56;88;1
79;88;1
1;89;1
4;89;1
6;89;1
21;89;1
23;89;1
35;89;1
6;90;1
19;90;1
35;90;1
82;90;1
6;93;1
21;93;1
75;93;1
81;93;1
82;93;1
84;93;1
85;93;1
86;93;1
92;93;1
6;95;1
11;95;1
35;95;1
52;95;1
92;96;1
93;96;1
81;96;1
86;96;1
90;96;1
85;96;1
84;96;1
1;97;1
6;97;1
11;97;1
21;97;1
23;97;1
35;97;1
48;97;1
52;97;1
82;97;1
87;97;1
101;97;1
6;98;1
21;98;1
23;98;1
35;98;1
49;98;1
48;98;1
86;98;1
87;98;1
97;98;1
101;98;1
4;101;1
6;101;1
21;101;1
22;101;1
35;101;1
32;101;1
48;101;1
52;101;1
58;101;1
86;101;1
4;102;1
88;102;1
6;103;1
23;103;1
82;103;1
104;103;1
1;104;1
4;104;1
6;104;1
9;104;1
21;104;1
23;104;1
44;104;1
48;104;1
54;104;1
58;104;1
56;104;1
64;105;1
50;105;1
1;107;1
4;107;1
6;107;1
88;107;1
102;107;1
1;108;1
4;108;1
6;108;1
77;108;1
4;109;1
6;109;1
21;109;1
23;109;1
35;109;1
46;109;1
52;109;1
60;109;1
77;109;1
75;109;1
82;109;1
88;109;1
108;109;1
6;110;1
23;110;1
82;110;1
104;110;1
103;110;1
4;111;1
25;111;1
84;111;1
92;111;1
93;111;1
96;111;1
81;111;1
85;111;1
35;111;1
74;111;1
63;111;1
4;112;1
6;112;1
9;112;1
16;112;1
21;112;1
22;112;1
35;112;1
48;112;1
49;112;1
52;112;1
55;112;1
58;112;1
65;112;1
74;112;1
75;112;1
82;112;1
86;112;1
97;112;1
98;112;1
114;112;1
4;113;1
112;113;1
6;116;1
21;116;1
35;116;1
32;116;1
65;116;1
74;116;1
81;116;1
82;116;1
85;116;1
84;116;1
86;116;1
92;116;1
93;116;1
111;116;1
1;118;1
4;118;1
6;118;1
21;118;1
22;118;1
65;118;1
6;119;1
9;119;1
18;119;1
21;119;1
23;119;1
35;119;1
32;119;1
87;119;1
109;119;1
4;120;1
88;120;1
102;120;1
108;120;1
107;120;1
4;121;1
32;121;1
81;121;1
84;121;1
85;121;1
93;121;1
1;122;1
4;122;1
6;122;1
9;122;1
11;122;1
26;122;1
23;122;1
35;122;1
49;122;1
52;122;1
95;122;1
55;122;1
4;123;1
88;123;1
102;123;1
108;123;1
107;123;1
4;124;1
6;124;1
88;124;1
102;124;1
107;124;1
108;124;1
4;125;1
6;126;1
21;126;1
23;126;1
35;126;1
32;126;1
82;126;1
87;126;1
105;126;1
118;126;1
4;127;1
34;127;1
117;127;1
54;127;1
6;127;1
23;127;1
99;127;1
56;127;1
1;128;1
4;128;1
6;128;1
22;128;1
31;128;1
88;128;1
102;128;1
107;128;1
108;128;1
120;128;1
123;128;1
124;128;1
125;128;1
1;129;1
4;129;1
8;129;1
102;129;1
114;129;1
96;129;1
77;129;1
88;129;1
67;129;1
42;129;1
106;129;1
128;129;1
6;129;1
2;129;1
108;129;1
124;129;1
59;129;1
45;129;1
120;129;1
123;129;1
125;129;1
127;129;1
107;129;1
22;129;1
99;129;1
119;129;1
3;129;1
83;129;1
100;129;1
