nod_sal;nod_ent;cap
7;1;1
8;1;1
11;1;1
12;1;1
13;1;1
22;1;1
23;1;1
34;1;1
35;1;1
37;1;1
39;1;1
7;2;1
8;2;1
9;2;1
11;2;1
12;2;1
13;2;1
22;2;1
23;2;1
35;2;1
36;2;1
39;2;1
14;3;1
15;3;1
16;3;1
17;3;1
18;3;1
36;3;1
39;3;1
17;4;1
36;4;1
37;4;1
39;4;1
6;5;1
34;5;1
35;5;1
39;5;1
7;6;1
35;6;1
39;6;1
8;7;1
9;7;1
11;7;1
12;7;1
13;7;1
35;7;1
39;7;1
9;8;1
10;8;1
20;8;1
21;8;1
22;8;1
23;8;1
24;8;1
35;8;1
38;8;1
39;8;1
10;9;1
35;9;1
36;9;1
39;9;1
35;10;1
36;10;1
39;10;1
19;11;1
35;11;1
36;11;1
39;11;1
19;12;1
26;12;1
35;12;1
36;12;1
38;12;1
39;12;1
35;13;1
36;13;1
38;13;1
39;13;1
25;14;1
26;14;1
27;14;1
28;14;1
29;14;1
36;14;1
39;14;1
19;15;1
25;15;1
26;15;1
27;15;1
28;15;1
29;15;1
36;15;1
39;15;1
19;16;1
27;16;1
36;16;1
39;16;1
36;17;1
39;17;1
19;18;1
25;18;1
26;18;1
27;18;1
29;18;1
32;18;1
36;18;1
39;18;1
33;19;1
36;19;1
38;19;1
39;19;1
36;20;1
38;20;1
39;20;1
33;21;1
36;21;1
38;21;1
39;21;1
27;22;1
28;22;1
30;22;1
31;22;1
32;22;1
33;22;1
35;22;1
36;22;1
38;22;1
39;22;1
30;23;1
32;23;1
33;23;1
35;23;1
36;23;1
38;23;1
39;23;1
36;24;1
38;24;1
39;24;1
36;25;1
38;25;1
39;25;1
36;26;1
38;26;1
39;26;1
30;27;1
36;27;1
38;27;1
39;27;1
36;28;1
38;28;1
39;28;1
36;29;1
38;29;1
39;29;1
36;30;1
38;30;1
39;30;1
32;31;1
36;31;1
38;31;1
39;31;1
36;32;1
38;32;1
39;32;1
36;33;1
38;33;1
39;33;1
37;34;1
36;35;1
37;35;1
1;7;1
1;8;1
1;11;1
1;12;1
1;13;1
1;22;1
1;23;1
1;34;1
1;35;1
1;37;1
1;39;1
2;7;1
2;8;1
2;9;1
2;11;1
2;12;1
2;13;1
2;22;1
2;23;1
2;35;1
2;36;1
2;39;1
3;14;1
3;15;1
3;16;1
3;17;1
3;18;1
3;36;1
3;39;1
4;17;1
4;36;1
4;37;1
4;39;1
5;6;1
5;34;1
5;35;1
5;39;1
6;7;1
6;35;1
6;39;1
7;8;1
7;9;1
7;11;1
7;12;1
7;13;1
7;35;1
7;39;1
8;9;1
8;10;1
8;20;1
8;21;1
8;22;1
8;23;1
8;24;1
8;35;1
8;38;1
8;39;1
9;10;1
9;35;1
9;36;1
9;39;1
10;35;1
10;36;1
10;39;1
11;19;1
11;35;1
11;36;1
11;39;1
12;19;1
12;26;1
12;35;1
12;36;1
12;38;1
12;39;1
13;35;1
13;36;1
13;38;1
13;39;1
14;25;1
14;26;1
14;27;1
14;28;1
14;29;1
14;36;1
14;39;1
15;19;1
15;25;1
15;26;1
15;27;1
15;28;1
15;29;1
15;36;1
15;39;1
16;19;1
16;27;1
16;36;1
16;39;1
17;36;1
17;39;1
18;19;1
18;25;1
18;26;1
18;27;1
18;29;1
18;32;1
18;36;1
18;39;1
19;33;1
19;36;1
19;38;1
19;39;1
20;36;1
20;38;1
20;39;1
21;33;1
21;36;1
21;38;1
21;39;1
22;27;1
22;28;1
22;30;1
22;31;1
22;32;1
22;33;1
22;35;1
22;36;1
22;38;1
22;39;1
23;30;1
23;32;1
23;33;1
23;35;1
23;36;1
23;38;1
23;39;1
24;36;1
24;38;1
24;39;1
25;36;1
25;38;1
25;39;1
26;36;1
26;38;1
26;39;1
27;30;1
27;36;1
27;38;1
27;39;1
28;36;1
28;38;1
28;39;1
29;36;1
29;38;1
29;39;1
30;36;1
30;38;1
30;39;1
31;32;1
31;36;1
31;38;1
31;39;1
32;36;1
32;38;1
32;39;1
33;36;1
33;38;1
33;39;1
34;37;1
35;36;1
35;37;1
