nod_sal;nod_ent;cap
1;4;1
1;14;1
1;15;1
1;16;1
1;17;1
1;18;1
2;7;1
2;82;1
2;152;1
2;153;1
2;154;1
2;155;1
2;156;1
2;157;1
2;158;1
2;159;1
2;160;1
2;161;1
2;162;1
2;163;1
2;164;1
2;165;1
2;166;1
2;167;1
2;168;1
2;169;1
2;170;1
2;171;1
2;172;1
2;173;1
2;174;1
2;175;1
2;176;1
2;177;1
2;184;1
2;185;1
3;102;1
3;176;1
3;177;1
3;178;1
3;179;1
3;180;1
3;181;1
3;182;1
3;183;1
5;1;1
5;36;1
5;37;1
5;38;1
5;39;1
5;40;1
5;41;1
5;42;1
5;43;1
5;44;1
5;45;1
5;46;1
5;47;1
5;48;1
5;49;1
5;50;1
5;51;1
5;52;1
5;53;1
5;54;1
5;55;1
5;56;1
5;57;1
5;58;1
5;59;1
5;60;1
5;82;1
5;102;1
6;59;1
6;60;1
6;61;1
6;62;1
6;63;1
6;64;1
6;65;1
6;66;1
6;67;1
6;68;1
6;69;1
6;70;1
6;71;1
6;72;1
6;73;1
6;74;1
6;75;1
6;76;1
6;77;1
6;78;1
6;79;1
6;80;1
6;81;1
7;3;1
7;149;1
7;184;1
7;185;1
7;186;1
7;187;1
7;188;1
7;189;1
7;190;1
7;191;1
7;192;1
7;193;1
7;194;1
8;149;1
8;150;1
8;151;1
9;35;1
9;82;1
9;83;1
9;84;1
9;85;1
9;86;1
9;87;1
9;88;1
9;89;1
9;90;1
9;91;1
9;92;1
9;93;1
9;94;1
9;95;1
9;96;1
9;97;1
9;98;1
9;99;1
9;100;1
9;101;1
9;102;1
9;103;1
9;104;1
9;105;1
9;147;1
9;148;1
9;149;1
9;152;1
10;36;1
10;103;1
10;104;1
10;105;1
10;106;1
10;107;1
10;108;1
10;109;1
10;110;1
10;111;1
10;112;1
10;113;1
10;114;1
10;115;1
10;116;1
10;117;1
10;118;1
10;119;1
10;120;1
10;121;1
10;122;1
10;123;1
10;124;1
10;125;1
10;126;1
10;127;1
10;128;1
10;129;1
10;130;1
10;131;1
10;149;1
11;35;1
11;129;1
11;130;1
11;131;1
11;132;1
11;133;1
11;134;1
11;135;1
11;136;1
11;137;1
11;138;1
11;139;1
11;140;1
11;141;1
11;142;1
11;143;1
11;144;1
11;145;1
11;146;1
11;147;1
11;148;1
12;1;1
12;4;1
12;18;1
12;19;1
12;20;1
12;21;1
12;22;1
12;23;1
12;24;1
12;25;1
12;26;1
12;27;1
12;28;1
12;29;1
12;30;1
12;31;1
12;32;1
12;33;1
12;34;1
12;35;1
12;82;1
