nod_sal;nod_ent;cap
1;2;1
2;4;1
2;9;1
3;4;1
4;5;1
4;7;1
5;12;1
5;6;1
5;8;1
5;11;1
6;12;1
6;7;1
7;12;1
7;8;1
7;36;1
8;9;1
8;36;1
9;10;1
10;11;1
12;13;1
12;15;1
12;16;1
12;17;1
12;18;1
12;20;1
12;22;1
12;31;1
12;32;1
12;23;1
13;14;1
13;16;1
13;20;1
14;19;1
14;16;1
15;18;1
16;17;1
17;20;1
18;19;1
19;20;1
20;21;1
20;22;1
23;24;1
23;27;1
23;28;1
23;31;1
24;25;1
24;27;1
25;26;1
25;27;1
14;27;1
28;29;1
28;31;1
30;31;1
30;32;1
31;32;1
31;33;1
31;35;1
32;33;1
33;36;1
34;35;1
34;36;1
35;36;1
2;1;1
4;2;1
9;2;1
4;3;1
5;4;1
7;4;1
12;5;1
6;5;1
8;5;1
11;5;1
12;6;1
7;6;1
12;7;1
8;7;1
36;7;1
9;8;1
36;8;1
10;9;1
11;10;1
13;12;1
15;12;1
16;12;1
17;12;1
18;12;1
20;12;1
22;12;1
31;12;1
32;12;1
23;12;1
14;13;1
16;13;1
20;13;1
19;14;1
16;14;1
18;15;1
17;16;1
20;17;1
19;18;1
20;19;1
21;20;1
22;20;1
24;23;1
27;23;1
28;23;1
31;23;1
25;24;1
27;24;1
26;25;1
27;25;1
27;14;1
29;28;1
31;28;1
31;30;1
32;30;1
32;31;1
33;31;1
35;31;1
33;32;1
36;33;1
35;34;1
36;34;1
36;35;1
