nod_sal;nod_ent;cap
1;2;1
2;3;1
2;5;1
3;4;1
3;9;1
4;9;1
5;6;1
5;9;1
2;6;1
6;7;1
6;8;1
6;9;1
7;8;1
7;15;1
8;9;1
9;10;1
9;14;1
10;11;1
10;12;1
10;13;1
11;12;1
11;13;1
12;13;1
14;15;1
14;16;1
14;17;1
14;19;1
14;22;1
16;21;1
17;18;1
18;19;1
18;20;1
19;20;1
19;22;1
20;21;1
22;23;1
22;24;1
23;24;1
2;1;1
3;2;1
5;2;1
4;3;1
9;3;1
9;4;1
6;5;1
9;5;1
6;2;1
7;6;1
8;6;1
9;6;1
8;7;1
15;7;1
9;8;1
10;9;1
14;9;1
11;10;1
12;10;1
13;10;1
12;11;1
13;11;1
13;12;1
15;14;1
16;14;1
17;14;1
19;14;1
22;14;1
21;16;1
18;17;1
19;18;1
20;18;1
20;19;1
22;19;1
21;20;1
23;22;1
24;22;1
24;23;1
