nod_sal;"	nod_ent";cap
1;41;1
1;11;1
1;46;1
1;49;1
1;18;1
1;20;1
1;54;1
1;55;1
1;56;1
2;12;1
2;34;1
2;28;1
2;13;1
2;60;1
3;16;1
3;33;1
3;51;1
3;28;1
3;15;1
4;48;1
4;33;1
4;18;1
4;59;1
4;30;1
5;57;1
6;50;1
6;27;1
6;44;1
7;8;1
7;62;1
7;44;1
7;21;1
7;38;1
8;35;1
8;37;1
8;38;1
8;43;1
8;44;1
8;46;1
8;20;1
8;53;1
8;25;1
9;60;1
10;56;1
10;18;1
10;59;1
11;38;1
11;48;1
11;49;1
11;18;1
11;56;1
12;60;1
12;13;1
13;28;1
14;58;1
14;51;1
14;28;1
14;34;1
15;33;1
15;37;1
15;43;1
15;16;1
15;49;1
15;53;1
15;59;1
15;21;1
16;41;1
16;51;1
16;23;1
16;26;1
17;40;1
18;33;1
18;44;1
18;46;1
18;48;1
18;49;1
18;53;1
18;56;1
19;20;1
19;62;1
20;38;1
20;43;1
20;44;1
20;50;1
21;27;1
21;43;1
22;40;1
22;58;1
22;28;1
22;42;1
22;47;1
23;41;1
23;51;1
23;53;1
23;26;1
23;27;1
24;40;1
24;59;1
25;34;1
25;38;1
25;44;1
25;48;1
25;55;1
25;26;1
25;59;1
26;48;1
26;38;1
26;41;1
27;41;1
28;58;1
28;59;1
28;60;1
29;56;1
30;33;1
30;38;1
31;40;1
31;42;1
31;47;1
31;58;1
31;60;1
31;61;1
32;40;1
32;42;1
32;61;1
32;47;1
33;44;1
34;51;1
34;58;1
36;56;1
37;38;1
37;43;1
37;44;1
37;53;1
38;43;1
38;44;1
38;53;1
38;55;1
39;60;1
40;42;1
40;47;1
40;58;1
40;60;1
42;47;1
42;57;1
42;60;1
43;45;1
43;55;1
44;59;1
44;46;1
46;49;1
46;56;1
47;57;1
47;58;1
47;60;1
48;49;1
48;52;1
49;56;1
52;56;1
53;56;1
41;1;1
11;1;1
46;1;1
49;1;1
18;1;1
20;1;1
54;1;1
55;1;1
56;1;1
12;2;1
34;2;1
28;2;1
13;2;1
60;2;1
16;3;1
33;3;1
51;3;1
28;3;1
15;3;1
48;4;1
33;4;1
18;4;1
59;4;1
30;4;1
57;5;1
50;6;1
27;6;1
44;6;1
8;7;1
62;7;1
44;7;1
21;7;1
38;7;1
35;8;1
37;8;1
38;8;1
43;8;1
44;8;1
46;8;1
20;8;1
53;8;1
25;8;1
60;9;1
56;10;1
18;10;1
59;10;1
38;11;1
48;11;1
49;11;1
18;11;1
56;11;1
60;12;1
13;12;1
28;13;1
58;14;1
51;14;1
28;14;1
34;14;1
33;15;1
37;15;1
43;15;1
16;15;1
49;15;1
53;15;1
59;15;1
21;15;1
41;16;1
51;16;1
23;16;1
26;16;1
40;17;1
33;18;1
44;18;1
46;18;1
48;18;1
49;18;1
53;18;1
56;18;1
20;19;1
62;19;1
38;20;1
43;20;1
44;20;1
50;20;1
27;21;1
43;21;1
40;22;1
58;22;1
28;22;1
42;22;1
47;22;1
41;23;1
51;23;1
53;23;1
26;23;1
27;23;1
40;24;1
59;24;1
34;25;1
38;25;1
44;25;1
48;25;1
55;25;1
26;25;1
59;25;1
48;26;1
38;26;1
41;26;1
41;27;1
58;28;1
59;28;1
60;28;1
56;29;1
33;30;1
38;30;1
40;31;1
42;31;1
47;31;1
58;31;1
60;31;1
61;31;1
40;32;1
42;32;1
61;32;1
47;32;1
44;33;1
51;34;1
58;34;1
56;36;1
38;37;1
43;37;1
44;37;1
53;37;1
43;38;1
44;38;1
53;38;1
55;38;1
60;39;1
42;40;1
47;40;1
58;40;1
60;40;1
47;42;1
57;42;1
60;42;1
45;43;1
55;43;1
59;44;1
46;44;1
49;46;1
56;46;1
57;47;1
58;47;1
60;47;1
49;48;1
52;48;1
56;49;1
56;52;1
56;53;1
