nod_sal;nod_ent;cap
1;2;1
2;3;1
2;4;1
2;5;1
2;6;1
2;7;1
2;8;1
2;9;1
2;10;1
2;11;1
3;4;1
3;11;1
4;11;1
11;12;1
11;13;1
11;14;1
11;15;1
11;16;1
11;24;1
11;25;1
11;26;1
11;27;1
11;28;1
11;29;1
11;30;1
11;32;1
11;33;1
11;34;1
11;35;1
11;36;1
11;37;1
11;38;1
11;39;1
11;44;1
11;45;1
11;49;1
11;50;1
11;52;1
11;56;1
11;59;1
11;65;1
11;69;1
11;70;1
11;71;1
11;72;1
11;73;1
13;24;1
17;18;1
17;19;1
17;20;1
17;21;1
17;22;1
17;23;1
17;24;1
18;19;1
18;20;1
18;21;1
18;22;1
18;23;1
18;24;1
18;27;1
18;56;1
19;20;1
19;21;1
19;22;1
19;23;1
19;24;1
20;21;1
20;22;1
20;23;1
20;24;1
21;22;1
21;23;1
21;24;1
22;23;1
22;24;1
23;24;1
24;25;1
24;26;1
24;28;1
24;30;1
24;31;1
24;32;1
25;26;1
25;27;1
25;28;1
25;42;1
25;43;1
25;51;1
25;69;1
25;70;1
25;71;1
26;27;1
26;28;1
26;40;1
26;41;1
26;42;1
26;43;1
26;49;1
26;56;1
26;69;1
26;70;1
26;71;1
26;72;1
26;76;1
27;28;1
27;44;1
27;50;1
27;52;1
27;55;1
27;56;1
27;73;1
28;29;1
28;30;1
28;32;1
28;34;1
28;44;1
28;49;1
28;59;1
28;69;1
28;70;1
28;71;1
28;72;1
28;73;1
29;45;1
29;46;1
30;35;1
30;36;1
30;37;1
30;38;1
30;39;1
31;32;1
35;36;1
35;37;1
35;38;1
35;39;1
36;37;1
36;38;1
36;39;1
37;38;1
37;39;1
38;39;1
40;53;1
40;56;1
42;43;1
42;56;1
42;58;1
42;63;1
42;69;1
42;70;1
42;71;1
42;72;1
42;76;1
47;48;1
47;49;1
49;56;1
49;58;1
49;59;1
49;60;1
49;61;1
49;62;1
49;63;1
49;64;1
49;65;1
49;66;1
49;67;1
49;69;1
49;70;1
49;72;1
49;74;1
49;75;1
49;76;1
49;77;1
50;51;1
50;52;1
50;55;1
50;56;1
50;57;1
52;53;1
52;54;1
52;55;1
52;56;1
55;56;1
56;57;1
56;58;1
56;59;1
56;60;1
56;62;1
56;63;1
56;64;1
56;65;1
56;66;1
58;59;1
58;60;1
58;62;1
58;63;1
58;64;1
58;65;1
58;66;1
58;68;1
59;60;1
59;61;1
59;62;1
59;63;1
59;64;1
59;65;1
59;66;1
59;67;1
59;71;1
59;77;1
60;61;1
60;62;1
60;63;1
60;64;1
60;65;1
60;66;1
60;67;1
61;62;1
61;63;1
61;64;1
61;65;1
61;66;1
61;67;1
62;63;1
62;64;1
62;65;1
62;66;1
62;67;1
63;64;1
63;65;1
63;66;1
63;67;1
63;77;1
64;65;1
64;66;1
64;67;1
64;77;1
65;66;1
65;67;1
65;77;1
66;67;1
66;77;1
67;77;1
69;70;1
69;71;1
69;72;1
69;76;1
70;71;1
70;72;1
70;76;1
71;72;1
71;76;1
72;76;1
74;75;1
2;1;1
3;2;1
4;2;1
5;2;1
6;2;1
7;2;1
8;2;1
9;2;1
10;2;1
11;2;1
4;3;1
11;3;1
11;4;1
12;11;1
13;11;1
14;11;1
15;11;1
16;11;1
24;11;1
25;11;1
26;11;1
27;11;1
28;11;1
29;11;1
30;11;1
32;11;1
33;11;1
34;11;1
35;11;1
36;11;1
37;11;1
38;11;1
39;11;1
44;11;1
45;11;1
49;11;1
50;11;1
52;11;1
56;11;1
59;11;1
65;11;1
69;11;1
70;11;1
71;11;1
72;11;1
73;11;1
24;13;1
18;17;1
19;17;1
20;17;1
21;17;1
22;17;1
23;17;1
24;17;1
19;18;1
20;18;1
21;18;1
22;18;1
23;18;1
24;18;1
27;18;1
56;18;1
20;19;1
21;19;1
22;19;1
23;19;1
24;19;1
21;20;1
22;20;1
23;20;1
24;20;1
22;21;1
23;21;1
24;21;1
23;22;1
24;22;1
24;23;1
25;24;1
26;24;1
28;24;1
30;24;1
31;24;1
32;24;1
26;25;1
27;25;1
28;25;1
42;25;1
43;25;1
51;25;1
69;25;1
70;25;1
71;25;1
27;26;1
28;26;1
40;26;1
41;26;1
42;26;1
43;26;1
49;26;1
56;26;1
69;26;1
70;26;1
71;26;1
72;26;1
76;26;1
28;27;1
44;27;1
50;27;1
52;27;1
55;27;1
56;27;1
73;27;1
29;28;1
30;28;1
32;28;1
34;28;1
44;28;1
49;28;1
59;28;1
69;28;1
70;28;1
71;28;1
72;28;1
73;28;1
45;29;1
46;29;1
35;30;1
36;30;1
37;30;1
38;30;1
39;30;1
32;31;1
36;35;1
37;35;1
38;35;1
39;35;1
37;36;1
38;36;1
39;36;1
38;37;1
39;37;1
39;38;1
53;40;1
56;40;1
43;42;1
56;42;1
58;42;1
63;42;1
69;42;1
70;42;1
71;42;1
72;42;1
76;42;1
48;47;1
49;47;1
56;49;1
58;49;1
59;49;1
60;49;1
61;49;1
62;49;1
63;49;1
64;49;1
65;49;1
66;49;1
67;49;1
69;49;1
70;49;1
72;49;1
74;49;1
75;49;1
76;49;1
77;49;1
51;50;1
52;50;1
55;50;1
56;50;1
57;50;1
53;52;1
54;52;1
55;52;1
56;52;1
56;55;1
57;56;1
58;56;1
59;56;1
60;56;1
62;56;1
63;56;1
64;56;1
65;56;1
66;56;1
59;58;1
60;58;1
62;58;1
63;58;1
64;58;1
65;58;1
66;58;1
68;58;1
60;59;1
61;59;1
62;59;1
63;59;1
64;59;1
65;59;1
66;59;1
67;59;1
71;59;1
77;59;1
61;60;1
62;60;1
63;60;1
64;60;1
65;60;1
66;60;1
67;60;1
62;61;1
63;61;1
64;61;1
65;61;1
66;61;1
67;61;1
63;62;1
64;62;1
65;62;1
66;62;1
67;62;1
64;63;1
65;63;1
66;63;1
67;63;1
77;63;1
65;64;1
66;64;1
67;64;1
77;64;1
66;65;1
67;65;1
77;65;1
67;66;1
77;66;1
77;67;1
70;69;1
71;69;1
72;69;1
76;69;1
71;70;1
72;70;1
76;70;1
72;71;1
76;71;1
76;72;1
75;74;1
