nod_sal;nod_ent;cap
1;2;1
1;3;1
1;4;1
1;5;1
1;6;1
1;7;1
2;3;1
2;4;1
2;5;1
2;6;1
2;7;1
2;8;1
2;18;1
3;4;1
3;7;1
3;8;1
3;10;1
4;7;1
4;10;1
4;14;1
5;8;1
5;9;1
5;10;1
5;12;1
6;18;1
7;10;1
7;11;1
7;22;1
7;23;1
8;9;1
8;12;1
9;10;1
9;11;1
9;18;1
10;11;1
10;12;1
10;13;1
10;14;1
10;16;1
10;31;1
11;12;1
11;18;1
11;22;1
11;25;1
12;14;1
12;16;1
12;17;1
12;18;1
12;19;1
12;20;1
12;22;1
12;23;1
12;24;1
12;25;1
12;27;1
12;28;1
12;34;1
13;14;1
13;15;1
14;15;1
14;20;1
14;32;1
15;20;1
15;27;1
15;29;1
15;32;1
15;33;1
16;18;1
16;19;1
16;26;1
17;18;1
17;23;1
18;19;1
18;21;1
18;23;1
18;24;1
18;28;1
18;30;1
19;21;1
19;25;1
19;26;1
19;27;1
19;28;1
19;30;1
19;31;1
20;21;1
20;23;1
20;25;1
20;26;1
20;28;1
20;29;1
20;31;1
20;32;1
20;33;1
21;23;1
21;31;1
22;23;1
22;27;1
23;25;1
23;27;1
23;28;1
23;31;1
24;30;1
25;26;1
25;28;1
26;29;1
27;31;1
28;31;1
28;33;1
29;32;1
30;31;1
31;32;1
31;33;1
32;33;1
33;34;1
10;35;1
34;35;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
3;2;1
4;2;1
5;2;1
6;2;1
7;2;1
8;2;1
18;2;1
4;3;1
7;3;1
8;3;1
10;3;1
7;4;1
10;4;1
14;4;1
8;5;1
9;5;1
10;5;1
12;5;1
18;6;1
10;7;1
11;7;1
22;7;1
23;7;1
9;8;1
12;8;1
10;9;1
11;9;1
18;9;1
11;10;1
12;10;1
13;10;1
14;10;1
16;10;1
31;10;1
12;11;1
18;11;1
22;11;1
25;11;1
14;12;1
16;12;1
17;12;1
18;12;1
19;12;1
20;12;1
22;12;1
23;12;1
24;12;1
25;12;1
27;12;1
28;12;1
34;12;1
14;13;1
15;13;1
15;14;1
20;14;1
32;14;1
20;15;1
27;15;1
29;15;1
32;15;1
33;15;1
18;16;1
19;16;1
26;16;1
18;17;1
23;17;1
19;18;1
21;18;1
23;18;1
24;18;1
28;18;1
30;18;1
21;19;1
25;19;1
26;19;1
27;19;1
28;19;1
30;19;1
31;19;1
21;20;1
23;20;1
25;20;1
26;20;1
28;20;1
29;20;1
31;20;1
32;20;1
33;20;1
23;21;1
31;21;1
23;22;1
27;22;1
25;23;1
27;23;1
28;23;1
31;23;1
30;24;1
26;25;1
28;25;1
29;26;1
31;27;1
31;28;1
33;28;1
32;29;1
31;30;1
32;31;1
33;31;1
33;32;1
34;33;1
35;10;1
35;34;1
