nod_sal;nod_ent;cap
1;315;1
2;500;1
2;501;1
3;316;1
3;317;1
4;318;1
5;319;1
5;584;1
6;320;1
7;321;1
7;322;1
8;323;1
8;324;1
8;325;1
9;326;1
9;327;1
10;328;1
10;329;1
10;330;1
11;331;1
12;332;1
13;333;1
14;334;1
14;335;1
14;336;1
14;337;1
14;338;1
14;339;1
14;340;1
14;341;1
14;342;1
14;343;1
14;344;1
14;345;1
15;346;1
16;347;1
17;348;1
18;349;1
19;350;1
20;351;1
21;352;1
21;353;1
22;354;1
23;323;1
23;355;1
23;356;1
24;357;1
25;358;1
26;359;1
27;360;1
27;361;1
27;362;1
28;363;1
28;364;1
29;365;1
30;366;1
31;367;1
32;368;1
33;369;1
33;370;1
34;371;1
35;372;1
36;373;1
37;352;1
38;374;1
38;375;1
39;376;1
40;336;1
40;377;1
40;378;1
40;379;1
40;380;1
41;381;1
42;382;1
42;383;1
43;371;1
44;384;1
45;318;1
46;385;1
47;386;1
48;387;1
49;440;1
50;337;1
51;388;1
52;654;1
53;389;1
54;390;1
55;415;1
56;391;1
57;392;1
57;393;1
57;394;1
57;395;1
58;396;1
59;397;1
60;398;1
61;399;1
61;400;1
62;367;1
63;401;1
64;338;1
64;402;1
65;403;1
66;404;1
67;405;1
68;406;1
68;407;1
69;408;1
69;409;1
69;410;1
69;411;1
70;412;1
71;413;1
72;414;1
72;415;1
73;416;1
74;417;1
75;328;1
76;418;1
77;419;1
78;420;1
79;421;1
80;422;1
81;423;1
81;424;1
82;324;1
83;356;1
84;347;1
85;425;1
85;426;1
86;427;1
87;382;1
87;383;1
87;428;1
87;429;1
87;430;1
87;431;1
87;432;1
87;433;1
88;434;1
88;435;1
88;436;1
89;437;1
90;430;1
91;438;1
92;439;1
93;440;1
93;441;1
93;442;1
93;443;1
93;511;1
93;512;1
94;444;1
94;445;1
95;446;1
96;408;1
97;447;1
98;329;1
98;330;1
98;448;1
98;449;1
98;450;1
99;451;1
100;452;1
100;453;1
101;454;1
102;455;1
103;456;1
104;457;1
104;458;1
105;384;1
106;531;1
107;459;1
107;460;1
107;461;1
108;568;1
109;462;1
110;384;1
110;391;1
110;463;1
111;338;1
111;451;1
111;452;1
111;464;1
111;465;1
111;466;1
111;467;1
111;468;1
112;469;1
113;396;1
114;409;1
115;654;1
116;356;1
117;470;1
117;471;1
118;507;1
119;316;1
119;317;1
120;472;1
121;396;1
122;328;1
123;330;1
123;394;1
123;395;1
123;444;1
123;449;1
123;473;1
123;474;1
123;475;1
123;476;1
123;477;1
123;478;1
123;479;1
123;480;1
123;481;1
123;482;1
123;483;1
123;484;1
123;485;1
123;486;1
123;487;1
123;488;1
123;489;1
123;490;1
123;491;1
123;492;1
123;493;1
124;494;1
125;483;1
126;412;1
126;495;1
126;496;1
127;497;1
128;498;1
129;499;1
129;500;1
129;501;1
129;502;1
129;503;1
129;504;1
129;505;1
129;506;1
130;507;1
131;508;1
132;435;1
133;412;1
133;495;1
133;496;1
134;380;1
134;441;1
134;442;1
134;443;1
134;449;1
134;484;1
134;485;1
134;486;1
134;487;1
134;488;1
134;489;1
134;502;1
134;509;1
134;510;1
134;511;1
134;512;1
134;513;1
134;514;1
134;515;1
134;516;1
134;517;1
134;518;1
135;519;1
136;520;1
136;521;1
137;639;1
138;522;1
139;627;1
140;523;1
141;526;1
141;527;1
141;528;1
142;525;1
143;500;1
143;501;1
144;524;1
145;529;1
146;530;1
147;391;1
147;531;1
148;530;1
149;365;1
150;386;1
151;532;1
152;533;1
153;534;1
154;535;1
155;401;1
156;367;1
156;430;1
156;437;1
156;536;1
156;537;1
156;538;1
156;539;1
156;540;1
156;541;1
156;542;1
157;543;1
158;348;1
159;353;1
159;544;1
160;415;1
161;532;1
161;545;1
161;584;1
161;585;1
161;586;1
162;446;1
163;546;1
164;547;1
165;351;1
165;548;1
166;549;1
167;550;1
168;551;1
169;413;1
170;543;1
171;552;1
172;451;1
172;553;1
172;554;1
172;555;1
173;513;1
174;497;1
175;556;1
176;442;1
176;443;1
176;512;1
176;557;1
176;558;1
176;559;1
176;560;1
176;561;1
176;562;1
176;592;1
177;436;1
178;578;1
179;550;1
180;370;1
181;396;1
182;339;1
182;340;1
182;341;1
182;342;1
182;489;1
182;514;1
182;515;1
182;563;1
182;564;1
182;565;1
182;566;1
183;567;1
184;568;1
185;569;1
185;570;1
186;541;1
186;573;1
186;574;1
186;575;1
186;576;1
187;571;1
188;388;1
189;572;1
190;451;1
191;577;1
192;381;1
193;578;1
194;366;1
194;572;1
194;579;1
194;580;1
194;581;1
195;582;1
195;583;1
196;319;1
196;584;1
196;585;1
196;586;1
197;399;1
198;587;1
199;606;1
200;604;1
201;333;1
201;588;1
202;589;1
203;343;1
203;590;1
204;376;1
205;350;1
205;388;1
205;558;1
205;559;1
205;560;1
205;561;1
205;562;1
205;591;1
205;592;1
206;445;1
206;542;1
207;375;1
207;593;1
207;594;1
208;452;1
208;595;1
208;596;1
208;597;1
208;598;1
209;431;1
209;432;1
210;497;1
211;344;1
212;490;1
212;541;1
212;574;1
212;596;1
212;598;1
212;599;1
212;600;1
213;601;1
213;602;1
213;603;1
214;398;1
214;575;1
214;576;1
214;597;1
214;598;1
215;556;1
216;470;1
216;471;1
217;366;1
217;459;1
217;460;1
217;461;1
217;580;1
218;604;1
219;605;1
219;606;1
220;623;1
221;607;1
222;465;1
222;579;1
222;581;1
223;386;1
224;466;1
225;412;1
226;608;1
227;351;1
227;548;1
228;609;1
229;325;1
229;610;1
230;611;1
231;351;1
231;548;1
232;657;1
233;415;1
234;594;1
234;612;1
234;613;1
234;614;1
234;615;1
234;616;1
234;617;1
234;618;1
235;382;1
235;383;1
235;655;1
236;397;1
237;533;1
238;400;1
238;619;1
239;328;1
239;409;1
239;410;1
239;411;1
240;621;1
241;337;1
242;620;1
243;405;1
244;326;1
244;327;1
245;622;1
246;387;1
247;470;1
247;471;1
248;516;1
249;623;1
250;608;1
251;624;1
252;560;1
252;592;1
253;625;1
254;376;1
254;405;1
255;503;1
255;504;1
255;505;1
255;506;1
256;627;1
257;323;1
258;365;1
258;547;1
259;424;1
259;507;1
259;628;1
260;351;1
261;629;1
262;346;1
263;364;1
263;529;1
263;630;1
264;561;1
265;515;1
265;517;1
265;626;1
266;453;1
266;530;1
266;631;1
266;632;1
267;351;1
268;608;1
269;362;1
269;633;1
270;634;1
271;635;1
272;498;1
273;636;1
273;637;1
273;638;1
273;639;1
274;640;1
275;641;1
276;642;1
277;620;1
278;316;1
278;317;1
279;345;1
280;534;1
281;643;1
282;644;1
283;645;1
284;646;1
284;647;1
285;328;1
286;648;1
287;404;1
288;472;1
288;649;1
288;650;1
288;651;1
289;650;1
289;651;1
290;439;1
291;491;1
291;582;1
291;583;1
291;625;1
292;652;1
293;653;1
294;655;1
295;561;1
295;562;1
295;656;1
296;657;1
297;658;1
298;342;1
298;659;1
298;660;1
298;661;1
299;535;1
300;384;1
301;433;1
301;611;1
301;662;1
301;663;1
301;664;1
302;385;1
303;630;1
304;397;1
305;589;1
306;467;1
307;322;1
308;467;1
308;468;1
308;665;1
308;666;1
308;667;1
309;668;1
310;420;1
310;468;1
310;619;1
310;667;1
310;669;1
310;670;1
310;671;1
310;672;1
310;673;1
310;674;1
311;518;1
312;578;1
313;322;1
314;450;1
314;492;1
314;493;1
315;1;1
500;2;1
501;2;1
316;3;1
317;3;1
318;4;1
319;5;1
584;5;1
320;6;1
321;7;1
322;7;1
323;8;1
324;8;1
325;8;1
326;9;1
327;9;1
328;10;1
329;10;1
330;10;1
331;11;1
332;12;1
333;13;1
334;14;1
335;14;1
336;14;1
337;14;1
338;14;1
339;14;1
340;14;1
341;14;1
342;14;1
343;14;1
344;14;1
345;14;1
346;15;1
347;16;1
348;17;1
349;18;1
350;19;1
351;20;1
352;21;1
353;21;1
354;22;1
323;23;1
355;23;1
356;23;1
357;24;1
358;25;1
359;26;1
360;27;1
361;27;1
362;27;1
363;28;1
364;28;1
365;29;1
366;30;1
367;31;1
368;32;1
369;33;1
370;33;1
371;34;1
372;35;1
373;36;1
352;37;1
374;38;1
375;38;1
376;39;1
336;40;1
377;40;1
378;40;1
379;40;1
380;40;1
381;41;1
382;42;1
383;42;1
371;43;1
384;44;1
318;45;1
385;46;1
386;47;1
387;48;1
440;49;1
337;50;1
388;51;1
654;52;1
389;53;1
390;54;1
415;55;1
391;56;1
392;57;1
393;57;1
394;57;1
395;57;1
396;58;1
397;59;1
398;60;1
399;61;1
400;61;1
367;62;1
401;63;1
338;64;1
402;64;1
403;65;1
404;66;1
405;67;1
406;68;1
407;68;1
408;69;1
409;69;1
410;69;1
411;69;1
412;70;1
413;71;1
414;72;1
415;72;1
416;73;1
417;74;1
328;75;1
418;76;1
419;77;1
420;78;1
421;79;1
422;80;1
423;81;1
424;81;1
324;82;1
356;83;1
347;84;1
425;85;1
426;85;1
427;86;1
382;87;1
383;87;1
428;87;1
429;87;1
430;87;1
431;87;1
432;87;1
433;87;1
434;88;1
435;88;1
436;88;1
437;89;1
430;90;1
438;91;1
439;92;1
440;93;1
441;93;1
442;93;1
443;93;1
511;93;1
512;93;1
444;94;1
445;94;1
446;95;1
408;96;1
447;97;1
329;98;1
330;98;1
448;98;1
449;98;1
450;98;1
451;99;1
452;100;1
453;100;1
454;101;1
455;102;1
456;103;1
457;104;1
458;104;1
384;105;1
531;106;1
459;107;1
460;107;1
461;107;1
568;108;1
462;109;1
384;110;1
391;110;1
463;110;1
338;111;1
451;111;1
452;111;1
464;111;1
465;111;1
466;111;1
467;111;1
468;111;1
469;112;1
396;113;1
409;114;1
654;115;1
356;116;1
470;117;1
471;117;1
507;118;1
316;119;1
317;119;1
472;120;1
396;121;1
328;122;1
330;123;1
394;123;1
395;123;1
444;123;1
449;123;1
473;123;1
474;123;1
475;123;1
476;123;1
477;123;1
478;123;1
479;123;1
480;123;1
481;123;1
482;123;1
483;123;1
484;123;1
485;123;1
486;123;1
487;123;1
488;123;1
489;123;1
490;123;1
491;123;1
492;123;1
493;123;1
494;124;1
483;125;1
412;126;1
495;126;1
496;126;1
497;127;1
498;128;1
499;129;1
500;129;1
501;129;1
502;129;1
503;129;1
504;129;1
505;129;1
506;129;1
507;130;1
508;131;1
435;132;1
412;133;1
495;133;1
496;133;1
380;134;1
441;134;1
442;134;1
443;134;1
449;134;1
484;134;1
485;134;1
486;134;1
487;134;1
488;134;1
489;134;1
502;134;1
509;134;1
510;134;1
511;134;1
512;134;1
513;134;1
514;134;1
515;134;1
516;134;1
517;134;1
518;134;1
519;135;1
520;136;1
521;136;1
639;137;1
522;138;1
627;139;1
523;140;1
526;141;1
527;141;1
528;141;1
525;142;1
500;143;1
501;143;1
524;144;1
529;145;1
530;146;1
391;147;1
531;147;1
530;148;1
365;149;1
386;150;1
532;151;1
533;152;1
534;153;1
