nod_sal;nod_ent;cap
1;2;1
1;3;1
1;4;1
1;5;1
6;7;1
6;8;1
6;4;1
6;9;1
6;5;1
6;10;1
11;12;1
11;13;1
11;14;1
11;15;1
12;14;1
12;16;1
17;18;1
17;19;1
17;13;1
17;9;1
17;15;1
17;20;1
21;22;1
21;23;1
21;24;1
25;26;1
25;27;1
28;26;1
28;29;1
28;30;1
2;3;1
3;31;1
3;32;1
3;5;1
33;34;1
33;35;1
33;8;1
33;19;1
33;36;1
33;37;1
38;39;1
38;14;1
38;16;1
38;15;1
38;40;1
38;20;1
34;41;1
34;42;1
34;8;1
34;37;1
41;42;1
41;43;1
41;44;1
18;8;1
18;19;1
18;9;1
42;8;1
42;44;1
42;5;1
42;27;1
42;45;1
7;4;1
7;10;1
22;46;1
22;23;1
22;24;1
22;47;1
26;30;1
26;27;1
26;45;1
48;46;1
43;44;1
43;37;1
35;49;1
35;36;1
35;37;1
8;19;1
8;9;1
8;5;1
4;5;1
39;49;1
39;36;1
39;20;1
31;32;1
31;5;1
31;27;1
49;36;1
19;36;1
19;20;1
46;47;1
29;23;1
29;30;1
13;9;1
13;10;1
14;16;1
14;15;1
23;30;1
23;47;1
44;30;1
44;45;1
9;10;1
16;40;1
30;45;1
36;20;1
5;27;1
15;20;1
27;45;1
2;1;1
3;1;1
4;1;1
5;1;1
7;6;1
8;6;1
4;6;1
9;6;1
5;6;1
10;6;1
12;11;1
13;11;1
14;11;1
15;11;1
14;12;1
16;12;1
18;17;1
19;17;1
13;17;1
9;17;1
15;17;1
20;17;1
22;21;1
23;21;1
24;21;1
26;25;1
27;25;1
26;28;1
29;28;1
30;28;1
3;2;1
31;3;1
32;3;1
5;3;1
34;33;1
35;33;1
8;33;1
19;33;1
36;33;1
37;33;1
39;38;1
14;38;1
16;38;1
15;38;1
40;38;1
20;38;1
41;34;1
42;34;1
8;34;1
37;34;1
42;41;1
43;41;1
44;41;1
8;18;1
19;18;1
9;18;1
8;42;1
44;42;1
5;42;1
27;42;1
45;42;1
4;7;1
10;7;1
46;22;1
23;22;1
24;22;1
47;22;1
30;26;1
27;26;1
45;26;1
46;48;1
44;43;1
37;43;1
49;35;1
36;35;1
37;35;1
19;8;1
9;8;1
5;8;1
5;4;1
49;39;1
36;39;1
20;39;1
32;31;1
5;31;1
27;31;1
36;49;1
36;19;1
20;19;1
47;46;1
23;29;1
30;29;1
9;13;1
10;13;1
16;14;1
15;14;1
30;23;1
47;23;1
30;44;1
45;44;1
10;9;1
40;16;1
45;30;1
20;36;1
27;5;1
20;15;1
45;27;1
