nod_sal;nod_ent;cap
1;6;1
3;13;1
4;5;1
5;6;1
6;7;1
5;7;1
5;8;1
9;17;1
11;12;1
12;17;1
6;13;1
5;14;1
6;15;1
5;15;1
11;16;1
16;17;1
11;17;1
2;11;1
5;6;1
5;15;1
3;6;1
3;7;1
8;14;1
9;17;1
7;11;1
11;12;1
3;13;1
11;13;1
3;14;1
14;15;1
3;15;1
11;16;1
16;17;1
5;17;1
11;17;1
6;1;1
13;3;1
5;4;1
6;5;1
7;6;1
7;5;1
8;5;1
17;9;1
12;11;1
17;12;1
13;6;1
14;5;1
15;6;1
15;5;1
16;11;1
17;16;1
17;11;1
11;2;1
6;5;1
15;5;1
6;3;1
7;3;1
14;8;1
17;9;1
11;7;1
12;11;1
13;3;1
13;11;1
14;3;1
15;14;1
15;3;1
16;11;1
17;16;1
17;5;1
17;11;1
