nod_sal;nod_ent;cap
245;1;1
512;1;1
209;2;1
255;2;1
520;3;1
512;4;1
493;5;1
483;6;1
55;7;1
279;7;1
358;7;1
503;7;1
686;7;1
735;7;1
11;8;1
25;8;1
378;9;1
409;9;1
644;9;1
22;10;1
94;10;1
144;10;1
152;10;1
223;10;1
228;10;1
233;10;1
248;10;1
280;10;1
285;10;1
441;10;1
464;10;1
512;10;1
542;10;1
572;10;1
580;10;1
606;10;1
618;10;1
651;10;1
703;10;1
708;10;1
728;10;1
737;10;1
761;10;1
250;12;1
409;12;1
300;13;1
90;14;1
693;14;1
300;15;1
506;15;1
509;15;1
512;15;1
533;15;1
61;16;1
586;16;1
250;17;1
728;18;1
245;19;1
374;20;1
397;20;1
548;20;1
397;21;1
534;21;1
88;22;1
171;22;1
192;22;1
280;22;1
315;22;1
357;22;1
377;22;1
397;22;1
491;22;1
494;22;1
677;22;1
761;22;1
281;23;1
27;24;1
360;24;1
414;24;1
429;24;1
477;24;1
34;25;1
306;25;1
373;25;1
492;25;1
493;25;1
528;25;1
640;25;1
750;25;1
245;26;1
391;26;1
90;28;1
93;29;1
106;29;1
685;29;1
137;30;1
561;30;1
272;31;1
397;31;1
518;31;1
553;31;1
76;32;1
397;33;1
521;35;1
718;36;1
137;37;1
342;37;1
554;37;1
558;38;1
137;39;1
54;40;1
86;40;1
261;40;1
457;40;1
514;40;1
657;41;1
761;42;1
512;43;1
47;44;1
158;45;1
686;46;1
307;47;1
444;47;1
155;48;1
512;49;1
132;50;1
461;50;1
512;50;1
657;50;1
158;51;1
203;52;1
238;52;1
461;52;1
552;53;1
184;54;1
267;54;1
338;54;1
457;54;1
538;54;1
216;56;1
378;56;1
400;56;1
409;56;1
610;56;1
531;57;1
623;57;1
62;58;1
92;58;1
390;58;1
426;58;1
523;58;1
587;58;1
190;59;1
155;60;1
120;61;1
587;62;1
351;63;1
184;64;1
458;65;1
587;65;1
277;66;1
482;66;1
77;67;1
180;67;1
351;67;1
358;67;1
551;68;1
747;68;1
130;69;1
488;69;1
761;69;1
419;70;1
459;70;1
137;71;1
190;72;1
395;72;1
521;72;1
552;72;1
761;72;1
362;73;1
137;74;1
516;75;1
153;76;1
162;76;1
225;76;1
615;76;1
656;76;1
124;77;1
129;77;1
158;77;1
169;77;1
181;77;1
252;77;1
255;77;1
326;77;1
351;77;1
478;77;1
547;77;1
568;77;1
620;77;1
665;77;1
693;77;1
728;77;1
754;77;1
159;78;1
183;78;1
334;78;1
438;78;1
646;79;1
137;80;1
512;81;1
696;82;1
493;83;1
378;84;1
504;85;1
159;86;1
200;86;1
246;86;1
556;86;1
493;87;1
212;89;1
328;89;1
265;90;1
288;90;1
324;90;1
371;90;1
529;90;1
693;90;1
712;90;1
354;91;1
358;91;1
228;93;1
362;93;1
320;95;1
483;95;1
202;96;1
560;97;1
412;98;1
521;98;1
600;98;1
639;98;1
493;99;1
693;99;1
707;100;1
229;101;1
179;102;1
307;103;1
482;103;1
162;104;1
296;105;1
378;105;1
409;105;1
588;105;1
626;107;1
158;108;1
681;109;1
158;110;1
291;110;1
632;110;1
653;110;1
139;111;1
420;111;1
122;112;1
427;112;1
588;113;1
436;114;1
393;115;1
334;116;1
298;117;1
321;117;1
666;118;1
652;119;1
730;119;1
686;120;1
493;121;1
252;122;1
283;122;1
478;122;1
551;122;1
204;123;1
208;123;1
386;123;1
530;123;1
633;123;1
158;124;1
169;124;1
358;124;1
607;124;1
750;125;1
514;126;1
458;127;1
393;128;1
567;129;1
137;131;1
351;132;1
461;132;1
171;133;1
478;134;1
520;134;1
228;135;1
527;135;1
572;135;1
723;135;1
137;136;1
615;136;1
138;137;1
168;137;1
194;137;1
238;137;1
264;137;1
268;137;1
275;137;1
286;137;1
304;137;1
362;137;1
393;137;1
397;137;1
403;137;1
429;137;1
437;137;1
449;137;1
515;137;1
520;137;1
521;137;1
525;137;1
539;137;1
549;137;1
557;137;1
581;137;1
639;137;1
651;137;1
701;137;1
706;137;1
759;137;1
557;138;1
657;138;1
148;139;1
158;139;1
245;139;1
333;139;1
351;139;1
355;139;1
486;139;1
596;139;1
603;139;1
635;139;1
663;139;1
672;139;1
724;139;1
750;140;1
218;141;1
358;141;1
368;141;1
478;141;1
543;141;1
594;141;1
620;141;1
656;141;1
666;141;1
735;141;1
198;142;1
378;142;1
485;142;1
514;142;1
560;142;1
573;142;1
272;143;1
320;143;1
483;143;1
618;144;1
509;145;1
694;146;1
750;147;1
377;149;1
397;149;1
536;149;1
155;150;1
623;151;1
631;153;1
158;154;1
244;155;1
426;155;1
435;155;1
473;155;1
546;155;1
614;155;1
667;155;1
729;155;1
166;156;1
383;156;1
435;156;1
521;156;1
593;156;1
171;157;1
240;157;1
397;157;1
477;157;1
520;157;1
602;157;1
634;157;1
748;157;1
159;158;1
180;158;1
223;158;1
228;158;1
229;158;1
241;158;1
340;158;1
351;158;1
358;158;1
367;158;1
370;158;1
505;158;1
514;158;1
516;158;1
520;158;1
521;158;1
566;158;1
567;158;1
568;158;1
586;158;1
590;158;1
623;158;1
657;158;1
669;158;1
686;158;1
689;158;1
693;158;1
200;159;1
229;159;1
384;159;1
450;159;1
505;159;1
555;159;1
623;159;1
493;160;1
693;161;1
184;163;1
342;164;1
609;165;1
657;165;1
421;167;1
418;168;1
696;168;1
243;169;1
252;169;1
478;169;1
485;169;1
489;169;1
551;169;1
559;169;1
560;169;1
245;170;1
232;171;1
335;171;1
605;171;1
636;171;1
735;171;1
761;171;1
266;172;1
510;172;1
686;172;1
205;173;1
653;173;1
184;174;1
236;174;1
392;174;1
334;175;1
519;176;1
572;176;1
447;177;1
514;177;1
260;178;1
356;178;1
591;178;1
704;178;1
229;179;1
358;180;1
567;180;1
735;180;1
358;181;1
728;181;1
393;182;1
652;183;1
262;184;1
269;184;1
276;184;1
290;184;1
319;184;1
373;184;1
413;184;1
474;184;1
533;184;1
629;184;1
682;184;1
731;184;1
375;185;1
757;185;1
477;186;1
524;186;1
455;187;1
595;188;1
397;189;1
381;190;1
409;191;1
397;192;1
207;193;1
378;193;1
436;193;1
348;195;1
521;196;1
274;197;1
724;197;1
478;199;1
317;200;1
358;200;1
250;201;1
396;201;1
423;201;1
673;202;1
461;203;1
208;204;1
230;205;1
401;205;1
509;206;1
435;208;1
530;208;1
302;209;1
725;209;1
591;210;1
615;210;1
693;211;1
328;212;1
512;213;1
707;214;1
666;215;1
355;217;1
521;219;1
228;220;1
493;220;1
657;221;1
377;222;1
672;223;1
688;223;1
356;224;1
761;226;1
311;227;1
378;228;1
393;228;1
425;228;1
435;228;1
512;228;1
513;228;1
535;228;1
565;228;1
572;228;1
577;228;1
595;228;1
618;228;1
431;229;1
433;229;1
458;229;1
518;229;1
526;229;1
537;229;1
578;229;1
586;229;1
587;229;1
639;229;1
658;229;1
705;229;1
731;229;1
751;229;1
351;230;1
401;230;1
291;231;1
522;231;1
750;234;1
305;235;1
393;236;1
290;237;1
334;238;1
438;238;1
459;238;1
461;238;1
472;238;1
505;238;1
623;238;1
711;238;1
468;239;1
469;239;1
512;239;1
662;239;1
668;239;1
743;239;1
547;242;1
302;243;1
358;243;1
466;243;1
479;243;1
547;243;1
345;245;1
439;245;1
528;245;1
603;245;1
659;245;1
736;245;1
753;245;1
557;247;1
521;249;1
257;250;1
409;250;1
423;250;1
588;250;1
381;251;1
358;252;1
551;252;1
642;252;1
657;252;1
693;252;1
358;253;1
610;254;1
686;255;1
378;256;1
595;258;1
351;259;1
541;261;1
560;263;1
404;266;1
551;270;1
707;270;1
378;271;1
428;272;1
512;273;1
761;273;1
724;274;1
365;275;1
398;275;1
563;275;1
608;275;1
574;276;1
629;276;1
738;276;1
352;277;1
493;277;1
649;277;1
393;278;1
661;278;1
452;279;1
583;279;1
604;279;1
393;280;1
357;281;1
666;282;1
693;284;1
342;286;1
638;286;1
735;286;1
754;286;1
591;287;1
693;288;1
686;289;1
720;289;1
761;291;1
339;292;1
458;292;1
587;292;1
409;293;1
393;294;1
358;295;1
478;295;1
378;296;1
693;297;1
761;298;1
568;299;1
545;300;1
585;300;1
661;300;1
679;300;1
693;300;1
663;301;1
358;302;1
416;302;1
547;302;1
358;303;1
482;305;1
482;307;1
494;307;1
509;308;1
390;309;1
351;310;1
313;311;1
493;312;1
660;312;1
710;312;1
715;312;1
746;312;1
661;313;1
557;314;1
718;316;1
482;317;1
381;318;1
744;321;1
348;322;1
434;322;1
481;322;1
704;322;1
383;323;1
712;324;1
327;325;1
621;325;1
720;325;1
759;325;1
380;328;1
484;328;1
597;328;1
634;328;1
716;328;1
728;329;1
693;330;1
482;331;1
438;332;1
438;334;1
467;334;1
711;334;1
719;334;1
758;334;1
601;335;1
735;336;1
397;337;1
697;338;1
410;341;1
521;341;1
667;343;1
369;344;1
618;346;1
735;347;1
704;348;1
623;349;1
752;349;1
477;350;1
576;350;1
358;351;1
379;351;1
420;351;1
568;351;1
637;351;1
693;351;1
735;351;1
358;353;1
402;358;1
477;358;1
494;358;1
567;358;1
669;358;1
673;358;1
693;358;1
735;358;1
755;358;1
536;359;1
540;359;1
659;359;1
409;361;1
586;361;1
618;362;1
705;363;1
587;364;1
515;366;1
558;366;1
485;369;1
741;372;1
377;375;1
397;376;1
397;377;1
419;377;1
536;377;1
409;378;1
462;378;1
610;378;1
611;378;1
624;378;1
669;379;1
456;381;1
460;382;1
435;383;1
686;383;1
578;384;1
722;384;1
737;385;1
744;387;1
623;388;1
720;389;1
426;390;1
471;390;1
617;392;1
432;393;1
473;393;1
493;393;1
512;393;1
661;393;1
678;393;1
680;393;1
732;393;1
536;394;1
744;395;1
419;397;1
472;397;1
485;397;1
532;397;1
536;397;1
538;397;1
540;397;1
623;397;1
657;397;1
686;397;1
707;397;1
708;397;1
651;399;1
696;399;1
472;405;1
654;406;1
713;407;1
609;408;1
622;408;1
686;408;1
411;409;1
496;409;1
569;409;1
588;409;1
610;409;1
630;409;1
644;409;1
521;410;1
674;414;1
558;415;1
693;417;1
497;419;1
536;419;1
639;419;1
686;419;1
663;420;1
661;421;1
582;422;1
447;424;1
587;426;1
646;428;1
463;429;1
520;430;1
526;433;1
651;435;1
676;435;1
619;436;1
693;440;1
651;441;1
693;441;1
521;442;1
521;443;1
587;445;1
471;446;1
533;448;1
744;451;1
566;453;1
536;454;1
567;455;1
587;458;1
639;458;1
664;458;1
750;458;1
461;459;1
461;460;1
502;461;1
623;461;1
728;461;1
551;465;1
648;470;1
750;470;1
639;472;1
683;474;1
693;475;1
682;476;1
524;477;1
693;478;1
651;480;1
704;481;1
721;482;1
742;482;1
570;485;1
654;485;1
657;485;1
659;485;1
681;485;1
751;487;1
744;488;1
623;490;1
626;490;1
675;490;1
507;493;1
598;493;1
612;493;1
639;493;1
661;493;1
671;493;1
695;493;1
696;493;1
734;493;1
707;495;1
654;497;1
509;498;1
618;499;1
504;500;1
571;500;1
615;501;1
641;502;1
599;503;1
733;505;1
728;508;1
514;509;1
651;509;1
547;511;1
527;512;1
562;512;1
657;512;1
538;514;1
623;514;1
693;514;1
681;517;1
521;520;1
639;520;1
657;520;1
686;520;1
711;520;1
728;520;1
761;520;1
657;521;1
674;521;1
686;521;1
761;521;1
586;525;1
627;529;1
657;536;1
686;536;1
578;537;1
623;537;1
693;538;1
697;538;1
693;544;1
625;547;1
707;547;1
735;547;1
650;549;1
750;550;1
652;551;1
657;551;1
677;552;1
714;556;1
657;557;1
670;558;1
690;558;1
655;560;1
657;560;1
728;561;1
718;562;1
693;564;1
735;567;1
693;571;1
