Algoritmo;Alfa;Improve
Louvain;0.99;0
Louvain;0.98;0
Louvain;0.97;0
Louvain;0.96;0
Louvain;0.95;0
Louvain;0.94;0
Louvain;0.93;0
Louvain;0.92;0
Louvain;0.91;1
Louvain;0.9;1
Louvain;0.89;1
Louvain;0.88;1
Louvain;0.87;1
Louvain;0.86;1
Louvain;0.85;1
Louvain;0.84;1
Louvain;0.83;1
Louvain;0.82;1
Louvain;0.81;1
Louvain;0.8;1
Louvain;0.79;1
Louvain;0.78;1
Louvain;0.77;1
Louvain;0.76;1
Louvain;0.75;1
Louvain;0.74;1
Louvain;0.73;1
Louvain;0.72;1
Louvain;0.71;1
Louvain;0.7;0
Louvain;0.69;0
Louvain;0.68;0
Louvain;0.67;0
Louvain;0.66;0
Louvain;0.65;0
Louvain;0.64;0
Louvain;0.63;0
Louvain;0.62;0
Louvain;0.61;0
Louvain;0.6;0
Louvain;0.59;0
Louvain;0.58;0
Louvain;0.57;0
Louvain;0.56;0
Louvain;0.55;0
Louvain;0.54;0
Louvain;0.53;0
Louvain;0.52;0
Louvain;0.51;0
Louvain;0.5;0
Louvain;0.49;0
Louvain;0.48;0
Louvain;0.47;0
Louvain;0.46;0
Louvain;0.45;0
Louvain;0.44;0
Louvain;0.43;0
Louvain;0.42;0
Louvain;0.41;0
Louvain;0.4;0
Louvain;0.39;0
Louvain;0.38;0
Louvain;0.37;0
Louvain;0.36;1
Louvain;0.35;1
Louvain;0.34;1
Louvain;0.33;1
Louvain;0.32;1
Louvain;0.31;1
Louvain;0.3;1
Louvain;0.29;1
Louvain;0.28;1
Louvain;0.27;1
Louvain;0.26;1
Louvain;0.25;1
Louvain;0.24;1
Louvain;0.23;1
Louvain;0.22;1
Louvain;0.21;1
Louvain;0.2;1
Louvain;0.19;1
Louvain;0.18;1
Louvain;0.17;1
Louvain;0.16;1
Louvain;0.15;1
Louvain;0.14;1
Louvain;0.13;1
Louvain;0.12;1
Louvain;0.11;1
Louvain;0.1;1
Louvain;0.09;1
Louvain;0.08;1
Louvain;0.07;1
Louvain;0.06;1
Louvain;0.05;1
Louvain;0.04;1
Louvain;0.03;1
Louvain;0.02;1
Louvain;0.01;1
Louvain;0.0;1
Leiden;0.99;0
Leiden;0.98;0
Leiden;0.97;0
Leiden;0.96;0
Leiden;0.95;0
Leiden;0.94;0
Leiden;0.93;0
Leiden;0.92;0
Leiden;0.91;0
Leiden;0.9;0
Leiden;0.89;0
Leiden;0.88;0
Leiden;0.87;0
Leiden;0.86;0
Leiden;0.85;0
Leiden;0.84;0
Leiden;0.83;0
Leiden;0.82;0
Leiden;0.81;0
Leiden;0.8;0
Leiden;0.79;0
Leiden;0.78;0
Leiden;0.77;0
Leiden;0.76;0
Leiden;0.75;0
Leiden;0.74;0
Leiden;0.73;0
Leiden;0.72;0
Leiden;0.71;0
Leiden;0.7;0
Leiden;0.69;0
Leiden;0.68;0
Leiden;0.67;0
Leiden;0.66;0
Leiden;0.65;0
Leiden;0.64;0
Leiden;0.63;0
Leiden;0.62;0
Leiden;0.61;0
Leiden;0.6;0
