nod_sal;nod_ent;weight
1;2;66
1;21;19
1;23;127
1;27;19
1;31;19
1;41;50
1;58;182
1;61;49
1;62;19
1;65;19
1;83;19
1;91;72
1;97;105
1;98;114
1;99;63
285;329;38
285;357;196
285;391;49
285;401;61
285;529;306
285;530;23
285;531;82
285;532;91
1842;1112;63
1842;1920;74
2469;2523;62
2469;1525;28
2469;1527;30
2469;1528;20
2878;2879;132
2878;2880;72
2878;37;34
2878;2926;61
2878;2970;163
2878;3019;41
2;1;49
2;21;18
2;23;202
2;38;117
2;41;66
2;58;425
2;59;58
2;62;18
2;83;44
2;91;18
2;97;18
2;98;18
286;287;29
286;303;31
286;309;37
286;358;259
286;413;37
286;428;43
1843;1844;100
1843;1898;36
1843;1936;29
2470;2471;68
2470;2473;177
2879;2878;144
2879;2880;112
2879;2883;49
2879;37;61
2879;2926;218
2879;2970;49
3;21;202
3;91;46
3;92;191
287;286;23
287;288;110
287;289;31
287;358;26
287;428;34
1844;1845;49
1844;1900;78
1844;1936;49
1844;1973;31
2471;2470;25
2471;622;39
2471;623;35
2880;2878;35
2880;2879;42
2880;2881;24
2880;2882;26
2880;2883;48
2880;37;19
2880;2919;16
2880;2926;36
2880;2928;115
2880;2952;42
2880;2966;90
2880;2970;135
2880;3019;177
4;5;310
4;21;93
4;31;114
4;36;48
4;93;205
288;287;135
288;382;79
1845;1844;50
1845;1900;45
1845;1917;31
1845;1927;32
1845;1470;22
1845;1472;25
2472;2474;110
2472;973;56
2472;1019;75
2881;2879;25
2881;2880;60
2881;2882;70
2881;2883;85
2881;2919;45
2881;2926;61
2881;2928;85
2881;2966;38
2881;2970;39
5;4;296
5;21;83
5;23;38
5;31;85
5;34;50
5;36;202
5;83;57
5;93;76
289;287;50
289;307;74
289;382;151
1846;1847;171
1846;1859;56
1846;1466;20
1846;1475;34
2473;2470;275
2473;2471;85
2473;2474;22
2882;2879;35
2882;2880;70
2882;2881;57
2882;2883;107
2882;2926;87
6;25;85
