CodigoArea;Nombre;Nodos
001A;Montesinos, Los y Algorfa;1
001B;Sant Joan de Vilatorrada y otros municipios;2
001M;Fuentidueña de Tajo y otros municipios;3
001S;Real de la Jara, El y otros municipios;4
001V;Daimús y otros municipios;5
002A;Formentera del Segura y otros municipios;6
002B;Òdena y otros municipios;7
002M;Perales de Tajuña y otros municipios;8
002S;Cazalla de la Sierra y Pedroso, El;9
002V;Bellreguard y otros municipios;10
003A;Bigastro y Jacarilla;11
003B;Torre de Claramunt, La y Pobla de Claramunt, La;12
003M;Valdilecha y otros municipios;13
003S;Guadalcanal y otros municipios;14
003V;Gandia (distritos 01 y 03);15
004A;Cox y otros municipios;16
004B;Capellades y Vallbona d'Anoia;17
004M;Anchuelo y otros municipios;18
004S;Peñaflor y Puebla de los Infantes, La;19
004V;Vilallonga/Villalonga y Ador;20
005A;Albatera y San Isidro;21
005B;Mediona y otros municipios;22
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;23
005S;Constantina y Navas de la Concepción, Las;24
005V;Font d'En Carròs, la y otros municipios;25
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;26
006B;Subirats y Olesa de Bonesvalls;27
006S;Lora del Río y Alcolea del Río;28
006V;Real de Gandía y otros municipios;29
007A;Sax y Salinas;30
007B;Castellbell i el Vilar y otros municipios;31
007M;Buitrago del Lozoya y otros municipios;32
007S;Luisiana, La y Cañada Rosal;33
007V;Simat de la Valldigna y Benifairó de la Valldigna;34
008A;Elda (distritos 02 y 03);35
008B;Sant Vicenç de Castellet y otros municipios;36
008M;Cercedilla y Navacerrada;37
008S;Rubio, El y Marinaleda;38
008V;Manuel y otros municipios;39
009A;Agost y Tibi;40
009B;Hostalets de Pierola, Els y Bruc, El;41
009M;Robledo de Chavela y otros municipios;42
009S;Gilena y Aguadulce;43
009V;Pobla Llarga, la y otros municipios;44
010A;Biar y otros municipios;45
010B;Viladecavalls y Ullastrell;46
010M;Navas del Rey y Chapinería;47
010S;Estepa y Lora de Estepa;48
010V;Genovés y otros municipios;49
011A;Busot y otros municipios;50
011B;Sant Esteve Sesrovires y Sant Llorenç d'Hortons;51
011M;Navalagamella y otros municipios;52
011S;Casariche y Badolatosa;53
011V;Llutxent y otros municipios;54
012A;Alcoy/Alcoi (distrito 08) y Benifallim;55
012B;Gelida y Castellví de Rosanes;56
012M;Quijorna y otros municipios;57
012S;Saucejo, El y otros municipios;58
012V;Xeraco y Xeresa;59
013A;Benilloba y otros municipios;60
013B;Cervelló y Palma de Cervelló, La;61
013M;Aldea del Fresno y Villamanta;62
